Lemma,POS,# of Occurrences
暇,Noun,121
進む,Verb,121
覚える,Verb,120
見せる,Verb,120
見える,Verb,120
あー,Interjection,120
以上,Noun,119
戻る,Verb,119
任せる,Verb,118
かしら,Particle,118
もっと,Adverb,117
期待,Noun,117
はい,Interjection,117
男,Noun,117
強い,い-Adjective,116
どんな,Adnominal,116
べし,Auxiliary Verb,116
夜,Noun,116
絵,Noun,115
枚,Suffix,114
今回,Noun,113
開く,Verb,113
ふふ,Interjection,113
潜入,Noun,113
間,Noun,112
因る,Verb,112
買う,Verb,112
得る,Verb,112
んっ,Interjection,112
旨い,い-Adjective,112
此奴,Pronoun,111
馬鹿,Noun,111
気持ち,Noun,111
女,Noun,110
先ず,Adverb,110
じゃん,Particle,110
モルガナ,Noun,110
寝る,Verb,110
カモシダ,Noun,109
マダラメ,Noun,109
作る,Verb,108
流石,Adverb,108
感じ,Noun,108
ターゲット-target,Noun,108
嫌,な-Adjective,107
ばかり,Particle,107
終わる,Verb,107
現実,Noun,107
たり,Particle,106
大事,な-Adjective,106
ユウスケ,Noun,106
カワカミ,Noun,106
攻撃,Noun,105
兎に角,Adverb,105
一人,Noun,105
事件,Noun,105
てく,Auxiliary Verb,105
顔,Noun,105
扉,Noun,105
問題,Noun,104
カット-cut,Noun,104
君,Suffix,102
室,Suffix,102
動く,Verb,101
集まる,Verb,100
ページ-page,Noun,100
好き,な-Adjective,99
生きる,Verb,99
勝つ,Verb,99
もの,Particle,99
嘘,Noun,99
心配,Noun,99
余り,Adverb,98
変える,Verb,98
可能,な-Adjective,98
仕方無い,い-Adjective,98
子供,Noun,98
道,Suffix,98
結果,Noun,97
円,Noun,97
作戦,Noun,96
うん,Interjection,96
行動,Noun,95
怖い,い-Adjective,95
性,Suffix,95
決める,Verb,95
屋,Suffix,95
取り敢えず,Adverb,95
客,Noun,94
宜しく,Adverb,94
件,Noun,94
外,Noun,93
人気,Noun,93
ネット-net,Noun,93
コイン-coin,Noun,93
負ける,Verb,92
利用,Noun,92
アン-Anne,Noun,92
書く,Verb,92
多い,い-Adjective,91
大人,Noun,91
やら,Particle,91
興味,Noun,91
真,Noun,91
け,Particle,91
カード-card,Noun,91
リュウジ,Noun,90
実,Noun,90
読む,Verb,90
候補,Noun,90
殺す,Verb,89
受ける,Verb,89
ねえ,Interjection,89
変,Noun,89
其方,Pronoun,89
