Lemma,POS,P4 Occurrences,P5 Occurrences
家,Noun,338,138
やがる,Auxiliary Verb,59,138
・,Auxiliary Symbol,102,137
付き合う,Verb,73,137
ゲーム-game,Noun,27,137
さっき,Noun,99,136
仕事,Noun,83,134
ちゃんと,Adverb,119,133
おお,Interjection,113,133
集合,Noun,15,133
済む,Verb,137,132
つく,Verb,81,132
許す,Verb,48,132
えっ,Interjection,335,131
見付ける,Verb,52,131
死ぬ,Verb,119,128
あの,Interjection,87,128
ペルソナ-persona,Noun,64,128
無理,Noun,107,127
助ける,Verb,74,127
そろそろ,Adverb,52,126
裏,Noun,9,126
なんか,Particle,115,125
二,Noun,83,125
内,Noun,148,124
願う,Verb,66,124
呼ぶ,Verb,63,124
こそ,Particle,76,123
仕舞う,Verb,119,122
乗る,Verb,42,122
など,Particle,42,121
暇,Noun,40,121
進む,Verb,32,121
用,Noun,24,121
見える,Verb,140,120
覚える,Verb,73,120
見せる,Verb,57,120
あー,Interjection,31,120
戻る,Verb,150,119
以上,Noun,64,119
かしら,Particle,66,118
任せる,Verb,30,118
はい,Interjection,144,117
男,Noun,131,117
もっと,Adverb,116,117
期待,Noun,29,117
どんな,Adnominal,70,116
強い,い-Adjective,66,116
夜,Noun,62,116
べし,Auxiliary Verb,49,116
絵,Noun,7,115
枚,Suffix,13,114
ふふ,Interjection,148,113
今回,Noun,33,113
開く,Verb,24,113
潜入,Noun,2,113
間,Noun,182,112
買う,Verb,126,112
んっ,Interjection,122,112
旨い,い-Adjective,93,112
得る,Verb,56,112
因る,Verb,52,112
馬鹿,Noun,134,111
気持ち,Noun,100,111
此奴,Pronoun,71,111
じゃん,Particle,220,110
女,Noun,72,110
先ず,Adverb,70,110
寝る,Verb,67,110
作る,Verb,161,108
感じ,Noun,70,108
流石,Adverb,37,108
ターゲット-target,Noun,4,108
嫌,な-Adjective,147,107
終わる,Verb,114,107
ばかり,Particle,97,107
現実,Noun,42,107
たり,Particle,133,106
大事,な-Adjective,92,106
カワカミ,Noun,1,106
事件,Noun,258,105
一人,Noun,223,105
顔,Noun,186,105
兎に角,Adverb,111,105
てく,Auxiliary Verb,106,105
扉,Noun,5,105
攻撃,Noun,1,105
問題,Noun,68,104
カット-cut,Noun,1,104
君,Suffix,346,102
室,Suffix,23,102
動く,Verb,36,101
集まる,Verb,29,100
ページ-page,Noun,3,100
好き,な-Adjective,173,99
もの,Particle,116,99
心配,Noun,105,99
生きる,Verb,87,99
嘘,Noun,64,99
勝つ,Verb,18,99
子供,Noun,98,98
余り,Adverb,62,98
仕方無い,い-Adjective,61,98
可能,な-Adjective,51,98
変える,Verb,30,98
道,Noun,22,98
結果,Noun,27,97
円,Noun,6,97
うん,Interjection,196,96
作戦,Noun,6,96
怖い,い-Adjective,114,95
決める,Verb,61,95
屋,Suffix,54,95
性,Suffix,50,95
取り敢えず,Adverb,44,95
行動,Noun,20,95
宜しく,Adverb,55,94
件,Noun,47,94
客,Noun,37,94
外,Noun,46,93
人気,Noun,10,93
ネット-net,Noun,6,93
書く,Verb,74,92
負ける,Verb,28,92
利用,Noun,8,92
アン-Anne,Noun,2,92
け,Particle,87,91
多い,い-Adjective,62,91
やら,Particle,59,91
興味,Noun,43,91
カード-card,Noun,37,91
大人,Noun,35,91
真,Prefix,34,91
実,Noun,84,90
読む,Verb,47,90
候補,Noun,1,90
殺す,Verb,96,89
変,Noun,91,89
ねえ,Interjection,70,89
まー,Interjection,58,89
其方,Pronoun,36,89
受ける,Verb,32,89
相談,Noun,25,89
じゃ,Auxiliary Verb,102,88
へえ,Interjection,48,88
然し,Conjunction,39,88
場合,Noun,34,88
んー,Interjection,153,87
食べる,Verb,123,87
夢,Noun,42,87
ながら,Particle,41,87
約束,Noun,77,86
ほど,Particle,43,86
都合,Noun,11,86
逃げる,Verb,74,85
信ずる,Verb,72,85
全て,Noun,64,85
楽しみ,Noun,39,85
さっさと,Adverb,16,85
大,Prefix,28,84
確認,Noun,19,84
感想,Noun,7,84
選挙,Noun,2,84
まさか,Adverb,75,83
共,Suffix,50,83
例,Noun,36,83
口,Noun,36,83
状況,Noun,35,83
彼,Pronoun,53,82
面倒,Noun,52,82
続ける,Verb,39,82
殿,Suffix,5,82
感ずる,Verb,162,80
生,Suffix,125,80
あれ,Interjection,103,80
困る,Verb,62,80
ぇ,Auxiliary Symbol,47,80
落ち着く,Verb,47,80
高い,い-Adjective,34,80
無,Prefix,27,80
試験,Noun,17,80
嬉しい,い-Adjective,160,79
最後,Noun,51,79
黙る,Verb,42,79
疲れる,Verb,41,79
餓鬼,Noun,36,79
やばい,い-Adjective,28,79
助かる,Verb,27,79
罪,Suffix,15,79
テレビ-television,Noun,275,78
ええ,Interjection,99,78
上がる,Verb,52,78
さあ,Interjection,40,78
足りる,Verb,20,78
続く,Verb,61,77
大変,な-Adjective,58,77
電話,Noun,49,77
姿,Noun,43,77
様子,Noun,43,77
下,Noun,43,77
報告,Noun,18,77
調子,Noun,17,77
警戒,Noun,1,77
名前,Noun,49,76
不,Prefix,38,76
行う,Verb,30,76
戦う,Verb,26,76
協力,Noun,25,76
余裕,Noun,5,76
巣,Noun,3,76
起きる,Verb,59,75
誘う,Verb,24,75
気分,Noun,24,75
成る程,Adverb,18,75
事故,Noun,15,75
万,Noun,12,75
成功,Noun,7,75
友達,Noun,65,74
只,Noun,46,74
無し,Noun,25,74
当たる,Verb,23,74
うう,Interjection,207,73
たって,Particle,85,73
遊ぶ,Verb,77,73
ぽい,Suffix,49,73
過ぎ,Suffix,40,73
押す,Verb,17,73
場,Suffix,9,73
鍵,Noun,7,73
気付く,Verb,58,72
ぅ,Auxiliary Symbol,36,72
命,Noun,19,72
状態,Noun,18,72
話題,Noun,12,72
化,Suffix,6,72
過ごす,Verb,137,71
親,Noun,46,71
生徒,Noun,45,71
向かう,Verb,29,71
質問,Noun,26,71
ボタン-button,Noun,2,71
全く,Adverb,105,70
普通,Noun,64,70
見付かる,Verb,62,70
春,Noun,26,70
身,Noun,23,70
覚悟,Noun,9,70
盗む,Verb,4,70
ぉ,Auxiliary Symbol,76,69
決まる,Verb,48,69
奥,Noun,26,69
開ける,Verb,15,69
占い,Noun,3,69
フロア-floor,Noun,2,69
所為,Noun,69,68
えー,Interjection,49,68
以外,Noun,29,68
全部,Noun,97,67
最近,Noun,83,67
三,Noun,57,67
回,Noun,45,67
ニュース-news,Noun,38,67
掛かる,Verb,33,67
急ぐ,Verb,29,67
忙しい,い-Adjective,28,67
ぃ,Auxiliary Symbol,25,67
紹介,Noun,21,67
注意,Noun,18,67
社長,Noun,2,67
先生,Noun,255,66
ほら,Interjection,139,66
はあ,Interjection,134,66
噂,Noun,65,66
チ,Code,60,66
邪魔,Noun,26,66
方法,Noun,11,66
御陰,Noun,42,65
不味い,い-Adjective,24,65
中々,Adverb,21,65
映画,Noun,12,65
仮面,Noun,4,65
頭,Noun,69,64
食う,Verb,61,64
結局,Noun,44,64
数,Noun,39,64
役,Noun,34,64
会,Noun,33,64
残念,な-Adjective,32,64
切る,Verb,29,64
出掛ける,Verb,21,64
愈,Adverb,16,64
誘い,Noun,8,64
館,Suffix,9,63
始める,Verb,48,62
終わり,Noun,41,62
酷い,い-Adjective,35,62
飲む,Verb,15,62
進める,Verb,8,62
何故,Adverb,45,61
分,Noun,34,61
折角,Adverb,28,61
戦い,Noun,13,61
己,Pronoun,9,61
ねた,Noun,8,61
本日,Noun,5,61
面白い,い-Adjective,50,60
選ぶ,Verb,50,60
伝える,Verb,45,60
コーヒー-coffee,Noun,13,60
騙す,Verb,12,60
銃,Noun,1,60
あんな,な-Adjective,103,59
年,Noun,89,59
思い出す,Verb,58,59
立つ,Verb,47,59
癖,Noun,44,59
どうせ,Adverb,26,59
周り,Noun,24,59
変化,Noun,11,59
ばれる,Verb,11,59
局,Noun,8,59
企業,Noun,2,59
雨,Noun,108,58
暫く,Adverb,40,58
本気,Noun,40,58
簡単,な-Adjective,20,58
倒す,Verb,13,58
ウ,Noun,9,58
ハ,Code,4,58
御座る,Verb,78,57
間違い,Noun,52,57
被害,Noun,46,57
理解,Noun,26,57
易い,Suffix,21,57
目的,Noun,18,57
返す,Verb,17,57
通る,Verb,12,57
会社,Noun,6,57
期限,Noun,2,57
気力,Noun,1,57
依頼,Noun,1,57
部,Noun,145,56
そう-伝聞,Noun,28,56
確り,Adverb,21,56
増える,Verb,19,56
大人しい,い-Adjective,8,56
証,Suffix,2,56
急,Noun,65,55
辛い,い-Adjective,65,55
解決,Noun,56,55
形,Noun,32,55
手伝う,Verb,32,55
説明,Noun,31,55
危険,Noun,25,55
片付ける,Verb,12,55
早速,Adverb,11,55
社員,Noun,1,55
姉,Noun,66,54
格好,Noun,57,54
連れる,Verb,53,54
認める,Verb,44,54
休む,Verb,43,54
狙う,Verb,34,54
近い,い-Adjective,20,54
扠,Conjunction,20,54
正面,Noun,15,54
犯罪,Noun,8,54
犯人,Noun,208,53
優しい,い-Adjective,116,53
唯,Adverb,107,53
体,Noun,68,53
くそ,Interjection,46,53
代わり,Noun,33,53
当然,な-Adjective,27,53
断る,Verb,24,53
四,Noun,14,53
会話,Noun,8,53
うわ,Interjection,51,52
怪しい,い-Adjective,29,52
全員,Noun,26,52
勝負,Noun,11,52
悪,Noun,10,52
注目,Noun,8,52
社会,Noun,8,52
指名,Noun,6,52
調査,Noun,4,52
マコト,Noun,1,52
深まる,Verb,67,51
何の,Adnominal,20,51
気配,Noun,17,51
フード-food,Noun,12,51
対する,Verb,8,51
主人,Noun,2,51
烏賊,Noun,2,51
向こう,Noun,62,50
勿論,Adverb,33,50
野郎,Noun,32,50
バイト-Arbeit,Noun,31,50
価値,Noun,17,50
品,Suffix,9,50
倍,Noun,8,50
慎重,Noun,7,50
ル-le,Noun,2,50
可愛い,い-Adjective,74,49
なあ,Interjection,49,49
危ない,い-Adjective,27,49
円-助数詞,Noun,24,49
むかつく,Verb,20,49
有名,な-Adjective,18,49
有り,Noun,17,49
随分,Adverb,12,49
探索,Noun,7,49
猫,Noun,6,49
スイッチ-switch,Noun,4,49
守る,Verb,65,48
仕様,Noun,57,48
貴様,Pronoun,37,48
何れ,Pronoun,37,48
怒る,Verb,37,48
ふん,Interjection,35,48
不安,Noun,33,48
痛い,い-Adjective,29,48
タイプ-type,Noun,22,48
可成,Adverb,14,48
構う,Verb,10,48
道具,Noun,9,48
次第,Noun,6,48
政治,Noun,6,48
戦,Suffix,4,48
引き上げる,Verb,2,48
ずっと,Adverb,144,47
引く-他動詞,Verb,45,47
何方,Pronoun,44,47
一体,Adverb,30,47
少ない,い-Adjective,29,47
近く,Noun,25,47
我慢,Noun,15,47
其奴,Pronoun,12,47
奪う,Verb,8,47
正義,Noun,5,47
カジノ-casino,Noun,2,47
仕掛け,Noun,1,47
キー-key,Noun,1,47
最初,Noun,69,46
特別,な-Adjective,54,46
白,Noun,52,46
り,Auxiliary Verb,48,46
多分,Adverb,45,46
がる,Suffix,37,46
座る,Verb,25,46
氏,Suffix,20,46
死,Noun,18,46
諦める,Verb,17,46
駅,Noun,12,46
バー-bar,Noun,1,46
無事,な-Adjective,41,45
迷惑,Noun,40,45
必ず,Adverb,39,45
逆,Noun,29,45
影響,Noun,19,45
感,Noun,16,45
楽しむ,Verb,16,45
世間,Noun,11,45
頂戴,Noun,11,45
責任,Noun,9,45
返事,Noun,8,45
ルーム-room,Noun,8,45
蚊,Noun,8,45
オオヤ,Noun,4,45
対応,Noun,3,45
一杯,Adverb,54,44
勝手,Noun,53,44
ううん,Interjection,52,44
リーダー-leader,Noun,32,44
手伝い,Noun,21,44
抜ける,Verb,18,44
連中,Noun,7,44
メンバー-member,Noun,4,44
時期,Noun,4,44
機,Noun,4,44
長い,い-Adjective,51,43
可笑しい,い-Adjective,48,43
要る,Verb,41,43
彼処,Pronoun,40,43
渡す,Verb,40,43
偉い,い-Adjective,37,43
感謝,Noun,31,43
掴む,Verb,30,43
大きい,い-Adjective,25,43
難しい,い-Adjective,22,43
無駄,Noun,16,43
売る,Verb,15,43
線,Noun,13,43
腹,Noun,13,43
既に,Adverb,12,43
目立つ,Verb,8,43
楽しい,い-Adjective,142,42
元,Noun,49,42
消える,Verb,34,42
理由,Noun,31,42
行成,Adverb,30,42
臭い,Suffix,30,42
挨拶,Noun,17,42
選択,Noun,16,42
扱い,Noun,10,42
向ける,Verb,9,42
天気,Noun,33,41
安心,Noun,33,41
空く,Verb,33,41
休み,Noun,28,41
詳しい,い-Adjective,25,41
新た,な-Adjective,25,41
合う,Verb,20,41
近付く,Verb,19,41
否定,Noun,15,41
どうぞ,Adverb,15,41
集める,Verb,14,41
是非,Adverb,12,41
反応,Noun,10,41
越える,Verb,8,41
侵入,Noun,4,41
現在,Noun,3,41
ジーマ-zima,Noun,2,41
全然,Adverb,110,40
頃,Noun,64,40
元気,Noun,61,40
てまえ,Pronoun,55,40
伯父,Noun,36,40
恐らく,Adverb,20,40
悩む,Verb,18,40
世話,Noun,16,40
掃除,Noun,7,40
警備,Noun,3,40
バトル-battle,Noun,3,40
生命,Noun,2,40
言,Noun,1,40
高校,Noun,65,39
残る,Verb,36,39
焦る,Verb,32,39
詰まり,Adverb,28,39
深い,い-Adjective,24,39
回復,Noun,23,39
追う,Verb,21,39
更に,Adverb,15,39
薬,Noun,11,39
キ,Code,11,39
移動,Noun,10,39
厳しい,い-Adjective,10,39
未だ未だ,Adverb,10,39
磨く,Verb,6,39
勝ち,Noun,5,39
敵う,Verb,2,39
泣く,Verb,83,38
一番,Adverb,73,38
彼女,Pronoun,42,38
捜査,Noun,41,38
望む,Verb,28,38
名,Noun,21,38
いー,Interjection,21,38
本物,Noun,19,38
試す,Verb,15,38
礼,Noun,13,38
受け取る,Verb,13,38
兎も角,Adverb,12,38
チャン-channel,Noun,10,38
ふむ,Interjection,7,38
様々,な-Adjective,6,38
玉,Noun,6,38
夏,Noun,5,38
制御,Noun,4,38
見逃す,Verb,2,38
スキル-skill,Noun,2,38
装置,Noun,1,38
意外,な-Adjective,58,37
ど,Particle,39,37
妙,Noun,33,37
新しい,い-Adjective,31,37
喜ぶ,Verb,30,37
失礼,Noun,22,37
運命,Noun,20,37
証拠,Noun,19,37
未来,Noun,18,37
届く,Verb,18,37
させる,Auxiliary Verb,16,37
なり-断定,Auxiliary Verb,15,37
与える,Verb,11,37
割,Noun,10,37
海,Suffix,10,37
予想,Noun,9,37
確実,な-Adjective,6,37
城,Noun,5,37
像,Noun,4,37
フン-外国,Noun,1,37
集中,Noun,1,37
二人,Noun,132,36
結構,Adverb,74,36
振り,Suffix,44,36
べい,Particle,40,36
丁度,Adverb,35,36
始まる,Verb,29,36
自信,Noun,17,36
申し訳,Noun,11,36
空,Noun,11,36
用意,Noun,11,36
将来,Noun,9,36
のみ,Particle,6,36
ナ,Code,4,36
経過,Noun,2,36
プレー-play,Noun,2,36
メード-made,Noun,1,36
救う,Verb,62,35
煩い,い-Adjective,47,35
側,Noun,36,35
発見,Noun,35,35
存在,Noun,30,35
意識,Noun,28,35
遂に,Adverb,26,35
隠す,Verb,20,35
一旦,Adverb,12,35
日本,Noun,12,35
自由,Noun,12,35
階,Noun,10,35
部長,Noun,9,35
地,Noun,8,35
板,Suffix,7,35
入手,Noun,2,35
ちっ,Adverb,43,34
然も,Conjunction,41,34
働く,Verb,22,34
活動,Noun,20,34
十分,な-Adjective,17,34
落とす,Verb,16,34
満足,Noun,16,34
光,Noun,10,34
差す-他動詞,Verb,10,34
主,Noun,10,34
借りる,Verb,9,34
梨,Noun,9,34
せめて,Adverb,9,34
議員,Noun,7,34
学園,Noun,5,34
商品,Noun,4,34
了解,Noun,4,34
寿司,Noun,3,34
支持,Noun,1,34
答える,Verb,57,33
自身,Noun,37,33
遅い,い-Adjective,36,33
嫌い,Noun,31,33
朝,Noun,28,33
謝る,Verb,27,33
致す,Verb,23,33
辺り,Noun,21,33
一方,Noun,17,33
サービス-service,Noun,17,33
夏休み,Noun,17,33
カレー-curry,Noun,15,33
素直,な-Adjective,15,33
さえ,Particle,14,33
逮捕,Noun,14,33
ひい,Interjection,13,33
屋上,Noun,12,33
出口,Noun,10,33
逆らう,Verb,1,33
交渉,Noun,1,33
／,Auxiliary Symbol,122,32
探偵,Noun,63,32
あら,Interjection,58,32
幸せ,Noun,34,32
料理,Noun,31,32
奇麗,な-Adjective,26,32
員,Suffix,21,32
事情,Noun,19,32
ク,Code,16,32
考え,Noun,13,32
世の中,Noun,13,32
でかい,い-Adjective,11,32
弱い,い-Adjective,11,32
多く,Noun,9,32
正体,Noun,9,32
残り,Noun,9,32
態度,Noun,8,32
迷う,Verb,8,32
上る,Verb,8,32
戦闘,Noun,6,32
入り口,Noun,5,32
動かす,Verb,4,32
開始,Noun,2,32
母,Noun,123,31
放課,Noun,113,31
送る,Verb,57,31
うー,Interjection,42,31
昔,Noun,39,31
捕まる,Verb,31,31
答え,Noun,30,31
放る,Verb,22,31
偶に,Adverb,22,31
学生,Noun,16,31
仲良く,Adverb,16,31
他人,Noun,16,31
無くなる,Verb,16,31
一気,Noun,10,31
経験,Noun,10,31
掲示,Noun,9,31
暑い,い-Adjective,9,31
利く,Verb,8,31
稼ぐ,Verb,3,31
トレーニング-training,Noun,1,31
悪党,Noun,1,31
船,Noun,1,31
テスト-test,Noun,60,30
辺,Noun,36,30
疲れ,Noun,35,30
慣れる,Verb,33,30
旅行,Noun,30,30
大きな,Adnominal,28,30
相,Prefix,26,30
む,Auxiliary Verb,24,30
失敗,Noun,24,30
糞,Noun,19,30
潰す,Verb,18,30
ファン-fan（熱狂者）,Noun,18,30
際,Noun,17,30
直接,Noun,12,30
色,Suffix,11,30
食事,Noun,10,30
用事,Noun,10,30
話し掛ける,Verb,9,30
示す,Verb,8,30
意見,Noun,8,30
苦労,Noun,7,30
普段,Noun,7,30
思い付く,Verb,7,30
駅前,Noun,7,30
指示,Noun,6,30
目指す,Verb,6,30
味方,Noun,6,30
長,Suffix,6,30
機会,Noun,5,30
労働,Noun,3,30
チャンス-chance,Noun,2,30
ビッグ-big,な-Adjective,1,30
エレベーター-elevator,Noun,1,30
：,Auxiliary Symbol,1,30
正直,Adverb,40,29
詰まる,Verb,33,29
真面目,な-Adjective,29,29
超,Prefix,28,29
回る,Verb,24,29
減る,Verb,24,29
幾ら,Adverb,21,29
不明,Noun,20,29
写真,Noun,18,29
重要,な-Adjective,18,29
参加,Noun,18,29
落ちる,Verb,15,29
事実,Noun,15,29
立てる,Verb,14,29
切れる,Verb,13,29
漸く,Adverb,13,29
限り,Noun,12,29
触る,Verb,12,29
壁,Noun,10,29
外す,Verb,9,29
程度,Noun,8,29
無視,Noun,7,29
迫る,Verb,4,29
描く,Verb,3,29
勝利,Noun,3,29
但し,Conjunction,2,29
高まる,Verb,1,29
聞こえる,Verb,56,28
降る,Verb,31,28
漸と,Adverb,29,28
或る,Adnominal,29,28
第,Prefix,27,28
張る,Verb,26,28
台詞,Noun,26,28
一応,Noun,24,28
文字,Noun,23,28
取れる,Verb,22,28
止まる,Verb,21,28
教師,Noun,16,28
動き,Noun,14,28
意地,Noun,13,28
甘い,い-Adjective,13,28
社,Noun,12,28
互い,Noun,9,28
我が,Adnominal,8,28
代,Suffix,8,28
メニュー-menu,Noun,7,28
払う,Verb,7,28
運,Noun,5,28
うむ,Interjection,4,28
若者,Noun,3,28
及ぶ,Verb,3,28
攻略,Noun,3,28
菜,Suffix,2,28
大衆,Noun,1,28
笑う,Verb,223,27
練習,Noun,57,27
初めて,Adverb,53,27
すっ,Adverb,42,27
神,Noun,34,27
女性,Noun,31,27
系,Suffix,22,27
驚く,Verb,22,27
原因,Noun,21,27
加減,Noun,17,27
気合い,Noun,17,27
びびる,Verb,15,27
音,Noun,13,27
秘密,Noun,12,27
能力,Noun,10,27
キミ-Kimi,Noun,10,27
ヒント-hint,Noun,8,27
公,Suffix,8,27
ルール-rule,Noun,6,27
深める,Verb,4,27
高める,Verb,2,27
期間,Noun,1,27
地図,Noun,1,27
監視,Noun,1,27
＞,Auxiliary Symbol,268,26
女の子,Noun,47,26
楽,Noun,46,26
はっきり,Adverb,44,26
点,Noun,32,26
母親,Noun,29,26
冗談,Noun,25,26
半分,Noun,24,26
足,Noun,23,26
参る,Verb,20,26
求める,Verb,20,26
正しい,い-Adjective,19,26
抑,Noun,19,26
疑う,Verb,19,26
完全,な-Adjective,17,26
珍しい,い-Adjective,14,26
思い出,Noun,14,26
国,Noun,13,26
電車,Noun,9,26
精神,Noun,8,26
発生,Noun,8,26
比べる,Verb,8,26
ユ,Code,8,26
信用,Noun,7,26
休日,Noun,7,26
遠慮,Noun,7,26
探る,Verb,6,26
会議,Noun,5,26
早め,な-Adjective,5,26
拾う,Verb,5,26
昼,Noun,5,26
合流,Noun,4,26
負け,Noun,4,26
追い詰める,Verb,4,26
タイミング-timing,Noun,3,26
記事,Noun,3,26
セーフ-safe,Noun,2,26
柵,Noun,2,26
階段,Noun,2,26
授業,Noun,48,25
風,Noun,48,25
ははは,Interjection,30,25
沢山,Adverb,26,25
特訓,Noun,26,25
因み,Noun,25,25
本人,Noun,22,25
信頼,Noun,21,25
合わせる,Verb,19,25
起こる,Verb,19,25
丸で,Adverb,19,25
広い,い-Adjective,16,25
