Lemma,POS,# Occurrences
ビフテキ-bifteck,Noun,12
修行,Noun,12
フード-food,Noun,12
コート-coat,Noun,12
一旦,Adverb,12
兎も角,Adverb,12
映画,Noun,12
歯,Noun,12
勘,Noun,12
恨む,Verb,12
仕業,Noun,12
総菜,Noun,12
セット-set,Noun,12
触る,Verb,12
立ち向かう,Verb,12
畜生,Noun,12
其奴,Pronoun,12
直接,Noun,12
留守,Noun,12
体験,Noun,12
非常,な-Adjective,12
既に,Adverb,12
話題,Noun,12
表情,Noun,12
復帰,Noun,12
玄関,Noun,12
短い,い-Adjective,12
伯母,Noun,12
中学,Noun,12
秘密,Noun,12
出会い,Noun,12
騙す,Verb,12
通る,Verb,12
外れる,Verb,12
趣味,Noun,12
林間,Noun,12
小麦,Noun,12
菓子,Noun,12
休業,Noun,12
混乱,Noun,12
殆ど,Noun,12
日本,Noun,12
たっぷり,Adverb,12
素,Prefix,12
御覧,Noun,12
さようなら,Interjection,12
飽きる,Verb,12
屋上,Noun,12
指導,Noun,12
随分,Adverb,12
手配,Noun,12
（,Auxiliary Symbol,12
材料,Noun,12
自由,Noun,12
一日,Noun,12
駅,Noun,12
素晴らしい,い-Adjective,12
のう,Particle,12
医者,Noun,12
卵,Noun,12
資料,Noun,12
取り戻す,Verb,12
搬送,Noun,12
万,Noun,12
解ける,Verb,12
浮かべる,Verb,12
ナース-nurse,Noun,12
受験,Noun,12
沖,Noun,12
奈,Noun,12
字,Noun,12
語,Noun,12
漢字,Noun,12
片付ける,Verb,12
兎,Noun,12
ランク-rank,Noun,12
片付け,Noun,12
豚,Noun,12
学童,Noun,12
林檎,Noun,12
被る,Verb,11
役目,Noun,11
旅,Noun,11
預かる,Verb,11
弟,Noun,11
越す,Verb,11
歓迎,Noun,11
酒,Noun,11
変化,Noun,11
ヒイラギ,Noun,11
ミスズ,Noun,11
担当,Noun,11
停学,Noun,11
申し訳,Noun,11
貸す,Verb,11
ふっ,Adverb,11
都合,Noun,11
校内,Noun,11
不倫,Noun,11
今朝,Noun,11
潰れる,Verb,11
きつい,い-Adjective,11
息子,Noun,11
でかい,い-Adjective,11
腕,Noun,11
雰囲気,Noun,11
シャドウ,Noun,11
段々,Noun,11
風邪,Noun,11
薬,Noun,11
ドラマ-drama,Noun,11
らん,Adverb,11
弱い,い-Adjective,11
幾,Noun,11
当たり前,な-Adjective,11
隠れる,Verb,11
敵,Noun,11
風呂,Noun,11
色,Suffix,11
早速,Adverb,11
宜しい,い-Adjective,11
自ら,Noun,11
番号,Noun,11
空,Noun,11
例えば,Adverb,11
用意,Noun,11
失う,Verb,11
＠,Auxiliary Symbol,11
じっと,Adverb,11
ふふふ,Interjection,11
サンキュー-thank you,Noun,11
世間,Noun,11
自然,Adverb,11
もしもし,Interjection,11
勝負,Noun,11
ばれる,Verb,11
与える,Verb,11
太陽,Noun,11
米,Noun,11
憧れる,Verb,11
切っ掛け,Noun,11
意思,Noun,11
イ,Code,11
天国,Noun,11
我が儘,Noun,11
土手,Noun,11
取り上げる,Verb,11
仕方,Noun,11
泳ぐ,Verb,11
飲み込む,Verb,11
故,Noun,11
去る,Verb,11
庇う,Verb,11
関する,Verb,11
包む,Verb,11
方法,Noun,11
布団,Noun,11
クマダ,Noun,11
怪物,Noun,11
見学,Noun,11
過去,Noun,11
巻き込む,Verb,11
手続き,Noun,11
ボ,Code,11
キ,Code,11
望み,Noun,11
退院,Noun,11
頂戴,Noun,11
別れ,Noun,11
懐かしい,い-Adjective,11
役者,Noun,11
飴,Noun,11
成績,Noun,11
エジプト-Egypt,Noun,11
きちんと,Adverb,11
喝上げ,Noun,11
屁,Noun,11
上手,な-Adjective,11
成長,Noun,11
竦める,Verb,11
入部,Noun,11
掛け持ち,Noun,11
トロンボーン-trombone,Noun,11
定め,Noun,10
訪れる,Verb,10
マーガレット-Marguerite,Noun,10
毎,Suffix,10
秘書,Noun,10
食事,Noun,10
担任,Noun,10
後ろ,Noun,10
噂話,Noun,10
美人,Noun,10
通す,Verb,10
プ,Code,10
割,Noun,10
休憩,Noun,10
扱い,Noun,10
用事,Noun,10
うお,Interjection,10
出口,Noun,10
勘弁,Noun,10
ポスター-poster,Noun,10
襲う,Verb,10
階,Noun,10
爽果,Noun,10
亡くなる,Verb,10
苦しい,い-Adjective,10
競る,Verb,10
中身,Noun,10
人格,Noun,10
イザナギ,Noun,10
能力,Noun,10
光,Noun,10
向こう側,Noun,10
壁,Noun,10
絡む,Verb,10
否々,Interjection,10
つつ,Particle,10
生み出す,Verb,10
犠牲,Noun,10
資格,Noun,10
遠く,Noun,10
次々,Adverb,10
味見,Noun,10
香り,Noun,10
打つ,Verb,10
握る,Verb,10
悪,Noun,10
抱える,Verb,10
差す-他動詞,Verb,10
族,Suffix,10
本部,Noun,10
一気,Noun,10
打ち明ける,Verb,10
キョ,Code,10
歩,Noun,10
人気,Noun,10
然う然う,Interjection,10
移動,Noun,10
食品,Noun,10
じ,Auxiliary Verb,10
勧める,Verb,10
時代,Noun,10
ねん,Particle,10
脱ぐ,Verb,10
独り,Noun,10
リセ-lycee,Noun,10
チャン-channel,Noun,10
反応,Noun,10
付け,Noun,10
厳しい,い-Adjective,10
なんぞ,Particle,10
証言,Noun,10
海,Suffix,10
主役,Noun,10
立件,Noun,10
爺,Noun,10
史,Suffix,10
構う,Verb,10
籤,Noun,10
温かい,い-Adjective,10
丼,Suffix,10
王子,Noun,10
現われる,Verb,10
数学,Noun,10
ポスト-post（郵便）,Noun,10
ミスコン,Noun,10
虫,Noun,10
優勝,Noun,10
経験,Noun,10
主,Noun,10
止む,Verb,10
キミ-Kimi,Noun,10
旅路,Noun,10
水,Noun,10
界,Suffix,10
未だ未だ,Adverb,10
週間,Noun,10
鍛える,Verb,10
ホソイ,Noun,10
童,Noun,10
ジョウ,Code,10
リットル-litre,Noun,10
コロッケ-croquette,Noun,10
サナ,Noun,10
傷付く,Verb,10
葉っぱ,Noun,10
左下,Noun,10
ヤスシ,Noun,10
疎遠,な-Adjective,10
補習,Noun,10
本来,Noun,9
遅れる,Verb,9
おおい,Interjection,9
掲示,Noun,9
明らか,な-Adjective,9
パン-pao,Noun,9
焼く,Verb,9
放つ,Verb,9
視線,Noun,9
異性,Noun,9
只今,Noun,9
伝説,Noun,9
鳴る,Verb,9
狙い,Noun,9
デート-date,Noun,9
苛める,Verb,9
老舗,Noun,9
もてる,Verb,9
死因,Noun,9
調べ,Noun,9
男性,Noun,9
驕る,Verb,9
さて,Interjection,9
恋,Noun,9
画面,Noun,9
一々,Noun,9
多く,Noun,9
低い,い-Adjective,9
制服,Noun,9
動揺,Noun,9
落ち,Noun,9
裏,Noun,9
品,Suffix,9
穴,Noun,9
シャ,Code,9
タイム-time,Noun,9
影,Noun,9
正体,Noun,9
っこ,Suffix,9
借りる,Verb,9
筋肉,Noun,9
困難,Noun,9
鎧,Noun,9
ウ,Noun,9
まあまあ,Adverb,9
歴史,Noun,9
条件,Noun,9
責任,Noun,9
覚悟,Noun,9
夕方,Noun,9
交換,Noun,9
メディア-media,Noun,9
しつこい,い-Adjective,9
梨,Noun,9
解散,Noun,9
転生,Noun,9
堪る,Verb,9
本心,Noun,9
道具,Noun,9
悩み,Noun,9
オウジ,Noun,9
記憶,Noun,9
予想,Noun,9
目撃,Noun,9
掻く,Verb,9
崩れる,Verb,9
個人,Noun,9
外す,Verb,9
人々,Noun,9
施設,Noun,9
広まる,Verb,9
暑い,い-Adjective,9
一時,Noun,9
落ち込む,Verb,9
記念,Noun,9
己,Pronoun,9
イベント-event,Noun,9
細かい,い-Adjective,9
文句,Noun,9
愛情,Noun,9
せめて,Adverb,9
おや,Interjection,9
通ずる,Verb,9
将来,Noun,9
場,Suffix,9
どきどき,Adverb,9
吊る,Verb,9
レベル-level,Noun,9
シマ,Noun,9
底,Noun,9
ひょっと,Adverb,9
話し掛ける,Verb,9
向ける,Verb,9
甘える,Verb,9
小学,Noun,9
ポート・アイランド,Noun,9
館,Suffix,9
電車,Noun,9
語る,Verb,9
残り,Noun,9
小さな,Adnominal,9
引き摺る,Verb,9
たら,Particle,9
天才,Noun,9
森,Noun,9
差し出し,Noun,9
票,Noun,9
ミス-mistake,Noun,9
女装,Noun,9
ちょ,Particle,9
立,Prefix,9
続き,Noun,9
思い込む,Verb,9
裁く,Verb,9
本の,Adnominal,9
生まれ変わる,Verb,9
互い,Noun,9
友人,Noun,9
掛け替え,Noun,9
学期,Noun,9
ハム-ham,Noun,9
グッド-good,Noun,9
冠詞,Noun,9
買い,Noun,9
サラダ-salad,Noun,9
演技,Noun,9
気まずい,い-Adjective,9
赤らめる,Verb,9
カサイ,Noun,9
砂糖,Noun,9
ウエハラ,Noun,9
油,Noun,9
ヤクシジ,Noun,9
部長,Noun,9
音楽,Noun,9
イゴール-Igor,Noun,8
精神,Noun,8
果たす,Verb,8
覗く,Verb,8
示す,Verb,8
地,Noun,8
閉ざす,Verb,8
住人,Noun,8
募集,Noun,8
年間,Noun,8
おす,Interjection,8
局,Noun,8
良し,Noun,8
そっと,Adverb,8
腐る,Verb,8
出席,Noun,8
返事,Noun,8
発生,Noun,8
保護,Noun,8
名乗る,Verb,8
注目,Noun,8
次期,Noun,8
ゼロ-zero,Noun,8
さっ,Adverb,8
進める,Verb,8
比べる,Verb,8
響き,Noun,8
引っ越す,Verb,8
ねた,Noun,8
変わり,Noun,8
起こす,Verb,8
ユ,Code,8
程度,Noun,8
利用,Noun,8
纏める,Verb,8
行方,Noun,8
我が,Adnominal,8
繋がり,Noun,8
当て,Noun,8
進展,Noun,8
反対,Noun,8
ふざける,Verb,8
可笑しな,Adnominal,8
探し,Noun,8
案内,Noun,8
わくわく,Adverb,8
意志,Noun,8
引っ張る,Verb,8
トップ-top,Noun,8
ベルベット-velvet,Noun,8
ルーム-room,Noun,8
ボーイ-boy,Noun,8
アリバイ-alibi,Noun,8
事務,Noun,8
口封じ,Noun,8
態度,Noun,8
下げる,Verb,8
目立つ,Verb,8
役割,Noun,8
合体,Noun,8
利く,Verb,8
ぷぷ,Adverb,8
更ける,Verb,8
ナカイ,Noun,8
先回り,Noun,8
毎年,Noun,8
稲葉,Noun,8
奪う,Verb,8
業,Suffix,8
空ける,Verb,8
ヒント-hint,Noun,8
好み,Noun,8
今日は,Interjection,8
荷物,Noun,8
会話,Noun,8
越える,Verb,8
ざっ,Adverb,8
面,Noun,8
対する,Verb,8
倍,Noun,8
育てる,Verb,8
川原,Noun,8
一瞬,Noun,8
迷う,Verb,8
投げる,Verb,8
岩,Noun,8
抜き,Noun,8
着替える,Verb,8
ショー-show,Noun,8
心成し,Noun,8
キャラ-character,Noun,8
警告,Noun,8
牛乳,Noun,8
ストリップ-strip,Noun,8
閉じる,Verb,8
すら,Particle,8
避ける,Verb,8
増し,な-Adjective,8
大人しい,い-Adjective,8
意見,Noun,8
効果,Noun,8
背,Noun,8
）,Auxiliary Symbol,8
最高,Noun,8
浴衣,Noun,8
出発,Noun,8
才能,Noun,8
反省,Noun,8
公,Suffix,8
社会,Noun,8
犯罪,Noun,8
代,Suffix,8
蚊,Noun,8
恥,Noun,8
小遣い,Noun,8
冷める,Verb,8
基礎,Noun,8
引き取る,Verb,8
公式,Noun,8
投票,Noun,8
其々,Noun,8
呼び出す,Verb,8
人数,Noun,8
来年,Noun,8
食べ物,Noun,8
通,Suffix,8
宅配,Noun,8
西瓜,Noun,8
尽くす,Verb,8
地球,Noun,8
人形,Noun,8
法,Noun,8
誘い,Noun,8
飛ぶ,Verb,8
直る,Verb,8
話し合う,Verb,8
弱々しい,い-Adjective,8
評判,Noun,8
週末,Noun,8
患者,Noun,8
尊敬,Noun,8
感心,Noun,8
暗記,Noun,8
断食,Noun,8
上る,Verb,8
嫉妬,Noun,8
歌,Noun,8
生物,Noun,8
ナンキョク,Noun,8
芋,Noun,8
自室,Noun,8
慌てる,Verb,8
輝く,Verb,8
堪える,Verb,8
イノウエ,Noun,8
真っ赤,な-Adjective,8
レター-letter,Noun,8
励ます,Verb,8
決意,Noun,8
ぐるみ,Suffix,8
晴れやか,な-Adjective,8
スポーツ-sport,Noun,8
イイダ,Noun,8
リバース-reverse,Noun,8
契約,Noun,7
ふむ,Interjection,7
信用,Noun,7
にて,Particle,7
同じく,Adverb,7
勤める,Verb,7
杯,Noun,7
却って,Adverb,7
自己,Noun,7
蜜柑,Noun,7
職員,Noun,7
寄り道,Noun,7
僅か,な-Adjective,7
乗り,Noun,7
議員,Noun,7
っ子,Suffix,7
若干,Noun,7
インタビュー-interview,Noun,7
妻,Noun,7
如何,な-Adjective,7
機能,Noun,7
相当,な-Adjective,7
てこ,Adverb,7
視界,Noun,7
要,Noun,7
連中,Noun,7
現役,Noun,7
苛め,Noun,7
晴れ,Noun,7
狂う,Verb,7
テメ,Noun,7
染みる,Verb,7
てらっしゃる,Auxiliary Verb,7
消す,Verb,7
苦労,Noun,7
一言,Noun,7
勘違い,Noun,7
単に,Adverb,7
はははは,Interjection,7
ミッ,Noun,7
おわ,Interjection,7
探索,Noun,7
宿,Noun,7
人影,Noun,7
コミュニティー-community,Noun,7
招く,Verb,7
葉,Noun,7
今一,Adverb,7
粗朶,Noun,7
中央,Noun,7
世,Noun,7
日曜,Noun,7
家出,Noun,7
神経,Noun,7
鍵,Noun,7
味噌,Noun,7
普段,Noun,7
抑圧,Noun,7
きゃあ,Interjection,7
餅,Noun,7
慎重,Noun,7
休日,Noun,7
魅力,Noun,7
助け出す,Verb,7
たがる,Auxiliary Verb,7
遠慮,Noun,7
加わる,Verb,7
真相,Noun,7
予告,Noun,7
だっ,Adverb,7
ヒレ-filet,Noun,7
メニュー-menu,Noun,7
相棒,Noun,7
器用,な-Adjective,7
壺,Noun,7
壊す,Verb,7
絵,Noun,7
距離,Noun,7
学年,Noun,7
俗,Noun,7
廊下,Noun,7
締める,Verb,7
通う,Verb,7
特定,Noun,7
特番,Noun,7
晴らす,Verb,7
班,Noun,7
性格,Noun,7
靴,Noun,7
予感,Noun,7
毛,Noun,7
余程,Adverb,7
疾っく,Noun,7
位,Suffix,7
抜け出す,Verb,7
交ぜる,Verb,7
感想,Noun,7
ぽっち,Suffix,7
進級,Noun,7
即,Adverb,7
仮令,Adverb,7
今頃,Noun,7
眠い,い-Adjective,7
狭い,い-Adjective,7
今後,Noun,7
立ち止まる,Verb,7
ダッシュ-dash,Noun,7
星,Suffix,7
今晩は,Interjection,7
興奮,Noun,7
兼ねる,Suffix,7
愚か,な-Adjective,7
敷く,Verb,7
すっかり,Adverb,7
始め,Noun,7
季節,Noun,7
実感,Noun,7
固まる,Verb,7
感情,Noun,7
厚い,い-Adjective,7
無視,Noun,7
辿り着く,Verb,7
狡い,い-Adjective,7
思い付く,Verb,7
オムライス,Noun,7
成功,Noun,7
供述,Noun,7
夏祭り,Noun,7
最早,Adverb,7
バイ-bye,Noun,7
支度,Noun,7
ベッド-bed,Noun,7
電気,Noun,7
表現,Noun,7
法律,Noun,7
思い当たる,Verb,7
駅前,Noun,7
別人,Noun,7
息,Noun,7
模倣,Noun,7
漫画,Noun,7
出し物,Noun,7
紙,Suffix,7
板,Suffix,7
出場,Noun,7
声掛け,Noun,7
推薦,Noun,7
告白,Noun,7
しゅっ,Adverb,7
現代,Noun,7
救急,Noun,7
払う,Verb,7
毒,Noun,7
沸く,Verb,7
決着,Noun,7
浮かぶ,Verb,7
一歩,Adverb,7
笑み,Noun,7
元凶,Noun,7
中華,Noun,7
渡る,Verb,7
虚ろ,な-Adjective,7
授ける,Verb,7
相応しい,い-Adjective,7
捻る,Verb,7
通販,Noun,7
病気,Noun,7
古代,Noun,7
ノート-note,Noun,7
掃除,Noun,7
髭,Noun,7
利益,Noun,7
植物,Noun,7
吹く,Verb,7
コッホ-Koch,Noun,7
解禁,Noun,7
見上げる,Verb,7
板前,Noun,7
複雑,Noun,7
孫,Noun,7
下駄,Noun,7
土,Noun,7
ナイフ-knife,Noun,7
楽器,Noun,7
フェザー-feather,Noun,7
酢飯,Noun,7
のみ,Particle,6
どれ,Interjection,6
常,Noun,6
出でる,Verb,6
トイレ-toilet,Noun,6
到着,Noun,6
一筋,Noun,6
振り回す,Verb,6
洗濯,Noun,6
タロウ,Noun,6
料,Suffix,6
方針,Noun,6
焼き,Suffix,6
そわそわ,Adverb,6
登校,Noun,6
通学,Noun,6
たげる,Auxiliary Verb,6
カミ,Noun,6
最悪,Noun,6
鷲,Noun,6
各自,Noun,6
指示,Noun,6
叫ぶ,Verb,6
古い,い-Adjective,6
アンテナ-antenna,Noun,6
校長,Noun,6
洗う,Verb,6
屋根,Noun,6
先日,Noun,6
時点,Noun,6
遅刻,Noun,6
不満,Noun,6
今晩,Noun,6
逆さ,Noun,6
テンション-tension,Noun,6
家電,Noun,6
大分,Adverb,6
型,Suffix,6
怯える,Verb,6
マスコミ,Noun,6
溜まる,Verb,6
跡,Noun,6
台,Noun,6
保証,Noun,6
放す,Verb,6
無理矢理,Adverb,6
ごちゃごちゃ,Adverb,6
暮らす,Verb,6
活躍,Noun,6
代々,Noun,6
見通し,Noun,6
ヒーロー-hero,Noun,6
鮭,Noun,6
和服,Noun,6
磨く,Verb,6
表,Noun,6
様々,な-Adjective,6
他者,Noun,6
数字,Noun,6
育む,Verb,6
築く,Verb,6
目覚める,Verb,6
しい,Interjection,6
同一,な-Adjective,6
当時,Noun,6
記録,Noun,6
会見,Noun,6
作業,Noun,6
御負け,Noun,6
接点,Noun,6
バラエティー-variety,Noun,6
鮮明,な-Adjective,6
日和,Noun,6
応援,Noun,6
チック--tic,Suffix,6
物騒,な-Adjective,6
ナン-外国,Noun,6
赤,Noun,6
リベンジ-revenge,Noun,6
日々,Noun,6
昼間,Noun,6
心細い,い-Adjective,6
変態,Noun,6
漂う,Verb,6
喋り,Noun,6
爆笑,Noun,6
会社,Noun,6
行為,Noun,6
突然,Adverb,6
範囲,Noun,6
耳,Noun,6
地味,な-Adjective,6
セイ,Code,6
ア-a,Noun,6
作戦,Noun,6
覚え,Noun,6
目指す,Verb,6
沈む,Verb,6
くっ,Interjection,6
けっ,Interjection,6
祝い,Noun,6
どん,Adverb,6
売れる,Verb,6
式,Noun,6
遣り直す,Verb,6
ルール-rule,Noun,6
泊,Noun,6
人差し,Noun,6
出来,Noun,6
ジャガ芋,Noun,6
食,Noun,6
途端,Noun,6
違和,Noun,6
現地,Noun,6
パス-pass,Noun,6
最低,Noun,6
ワイド-wide,Noun,6
田舎町,Noun,6
雁擬き,Noun,6
次第,Noun,6
態と,Adverb,6
買い食い,Noun,6
当てる,Verb,6
アップ-up,Noun,6
取り,Noun,6
仮名,Noun,6
座,Noun,6
探る,Verb,6
ヒック,Noun,6
商売,Noun,6
発想,Noun,6
押さえる,Verb,6
ホーム-home,Noun,6
マン-man,Noun,6
特捜,Noun,6
青い,い-Adjective,6
小,Prefix,6
草,Suffix,6
からかう,Verb,6
移る,Verb,6
指名,Noun,6
ミツオ,Noun,6
傷,Noun,6
負う,Verb,6
醤油,Noun,6
祝う,Verb,6
健康,Noun,6
耐える,Verb,6
後輩,Noun,6
諺,Noun,6
ホテル-hotel,Noun,6
土産,Noun,6
サイズ-size,Noun,6
膝,Noun,6
専門,Noun,6
大人びる,Verb,6
手柄,Noun,6
人体,Noun,6
瞬間,Noun,6
ロマン-roman,Noun,6
検査,Noun,6
ネット-net,Noun,6
自我,Noun,6
控える,Verb,6
眼差し,Noun,6
メロン-melon,Noun,6
住所,Noun,6
末,Suffix,6
自習,Noun,6
大会,Noun,6
確実,な-Adjective,6
プディング-pudding,Noun,6
覆う,Verb,6
背中,Noun,6
縁,Noun,6
どっきり,Noun,6
政治,Noun,6
惑わす,Verb,6
心当たり,Noun,6
いいえ,Interjection,6
トラック-truck,Noun,6
日記,Noun,6
弱音,Noun,6
化,Suffix,6
吸う,Verb,6
取り組む,Verb,6
グ,Noun,6
入院,Noun,6
警護,Noun,6
味方,Noun,6
基本,Noun,6
猫,Noun,6
ショック-shock,Noun,6
語源,Noun,6
レール-rail,Noun,6
石,Noun,6
俯く,Verb,6
鬼,Suffix,6
土地,Noun,6
溢れる,Verb,6
曖昧,な-Adjective,6
裏切る,Verb,6
単なる,Adnominal,6
暮れ,Noun,6
突き合わせる,Verb,6
以下,Noun,6
穏やか,な-Adjective,6
作り,Noun,6
瞑る,Verb,6
魂,Noun,6
戦闘,Noun,6
臼,Noun,6
ソブエ,Noun,6
粗々,Adverb,6
完璧,Noun,6
玉,Noun,6
ナカヤマ,Noun,6
七夕,Noun,6
曙,Noun,6
フランス-France,Noun,6
氷原,Noun,6
ドル-dollar,Noun,6
円,Noun,6
交感,Noun,6
副,Prefix,6
長,Suffix,6
割る,Verb,6
燥ぐ,Verb,6
保育,Noun,6
園,Suffix,6
演ずる,Verb,6
卒業,Noun,6
ぐちゃぐちゃ,な-Adjective,6
バス-bus,Noun,6
溜める,Verb,6
思い詰める,Verb,6
センリ,Noun,6
清掃,Noun,6
喪服,Noun,6
網,Noun,6
傘,Noun,6
タケシ,Noun,6
橘,Noun,6
滴,Noun,6
玩具,Noun,6
グラウンド-ground,Noun,6
看病,Noun,6
完成,Noun,6
胡麻,Noun,6
米俵,Noun,6
正に,Adverb,5
すか,Adverb,5
退屈,Noun,5
雄,Noun,5
当たり,Noun,5
帯,Suffix,5
張り出す,Verb,5
終日,Noun,5
居心地,Noun,5
演歌,Noun,5
歌手,Noun,5
事態,Noun,5
愛人,Noun,5
アナウンサー-announcer,Noun,5
路,Suffix,5
説教,Noun,5
飛ばす,Verb,5
期,Noun,5
リアル-real,Noun,5
食らう,Verb,5
会議,Noun,5
至急,Noun,5
下校,Noun,5
机,Noun,5
八十,Noun,5
観光,Noun,5
早退,Noun,5
孵る,Verb,5
本日,Noun,5
本格,Noun,5
流行る,Verb,5
自転,Noun,5
食い物,Noun,5
太る,Verb,5
店長,Noun,5
節介,Noun,5
午前,Noun,5
幼稚,な-Adjective,5
ひひひ,Interjection,5
夕食,Noun,5
アピール-appeal,Noun,5
ぶら下がる,Verb,5
強化,Noun,5
金持ち,Noun,5
確定,Noun,5
新,Prefix,5
矢鱈,Adverb,5
薄い,い-Adjective,5
漏れる,Verb,5
止め,Noun,5
怠い,い-Adjective,5
気象,Noun,5
他人事,Noun,5
好き勝手,な-Adjective,5
言い切る,Verb,5
ぐずぐず,Adverb,5
武器,Noun,5
出,Suffix,5
間近,な-Adjective,5
はっ,Interjection,5
いざ,Interjection,5
いやはや,Interjection,5
怒鳴る,Verb,5
囲む,Verb,5
くくく,Interjection,5
生まれ,Noun,5
過ぎ-時間,Suffix,5
退く,Verb,5
心強い,い-Adjective,5
力強い,い-Adjective,5
入り口,Noun,5
土日,Noun,5
限る,Verb,5
三角,Noun,5
おー,Interjection,5
早め,な-Adjective,5
クラブ-club,Noun,5
やや,Adverb,5
両方,Noun,5
警官,Noun,5
扉,Noun,5
魔術,Noun,5
考え事,Noun,5
城,Noun,5
麩,Noun,5
殿,Suffix,5
着く,Verb,5
増す,Verb,5
ペース-pace,Noun,5
猶,Conjunction,5
益々,Adverb,5
上がり,Noun,5
足取り,Noun,5
野次馬,Noun,5
連休,Noun,5
雌,Noun,5
強制,Noun,5
ア,Code,5
ぷっ,Interjection,5
ジュース-juice,Noun,5
病欠,Noun,5
擦る,Verb,5
開放,Noun,5
違,Noun,5
毎度,Noun,5
オレ-Ole,Noun,5
恨み,Noun,5
早々,Noun,5
匂う,Verb,5
昼休み,Noun,5
手作り,Noun,5
見知り,Noun,5
組む,Verb,5
恋人,Noun,5
案外,Adverb,5
付き合い,Noun,5
ゲ,Code,5
遅く,Noun,5
入り,Noun,5
逸れる,Verb,5
闇雲,な-Adjective,5
嘗める,Verb,5
めろ,Noun,5
情けない,い-Adjective,5
おら,Interjection,5
拾う,Verb,5
捜索,Noun,5
買い出し,Noun,5
張り,Suffix,5
一二,Noun,5
人参,Noun,5
出し,Noun,5
合図,Noun,5
ぐっ,Adverb,5
げほ,Adverb,5
真顔,Noun,5
込める,Verb,5
説得,Noun,5
取り柄,Noun,5
日数,Noun,5
デビュー-debut,Noun,5
略,Adverb,5
丑,Noun,5
押し掛ける,Verb,5
真ん中,Noun,5
人手,Noun,5
踏む,Verb,5
ストーカー-stalker,Noun,5
引き受ける,Verb,5
イメージ-image,Noun,5
見張る,Verb,5
企画,Noun,5
放題,Noun,5
防ぐ,Verb,5
鈍る,Verb,5
此の世,Noun,5
独りぼっち,Noun,5
わし,Pronoun,5
ヌ,Code,5
下がる,Verb,5
オオ,Noun,5
キュ,Code,5
野放し,Noun,5
勿体,Noun,5
千,Noun,5
アイス-ice,Noun,5
証し,Noun,5
アイ-eye,Noun,5
ざわつく,Verb,5
勝ち,Noun,5
しょっちゅう,Adverb,5
手分け,Noun,5
伏せる,Verb,5
周囲,Noun,5
余裕,Noun,5
堂々,Adverb,5
酢,Noun,5
マスコット-mascot,Noun,5
見掛ける,Verb,5
結論,Noun,5
突き止める,Verb,5
方角,Noun,5
感覚,Noun,5
きもい,い-Adjective,5
きっちり,Adverb,5
仕舞い,Noun,5
打ち上げ,Noun,5
散る,Verb,5
全力,Noun,5
表わす,Verb,5
漕ぎ着ける,Verb,5
夏,Noun,5
思い付き,Noun,5
メーン-main,Noun,5
憎い,い-Adjective,5
学園,Noun,5
機会,Noun,5
精,Noun,5
ばい,Particle,5
昼,Noun,5
冷える,Verb,5
命令,Noun,5
いっそ,Adverb,5
横,Noun,5
知識,Noun,5
戸,Noun,5
辰巳,Noun,5
マスク-mask,Noun,5
責める,Verb,5
浮かれる,Verb,5
改造,Noun,5
成す,Verb,5
叶える,Verb,5
がっつり,Adverb,5
×,Auxiliary Symbol,5
根拠,Noun,5
提出,Noun,5
辞退,Noun,5
ナッツ-nuts,Noun,5
登場,Noun,5
恐ろしい,い-Adjective,5
純粋,な-Adjective,5
賞品,Noun,5
精々,Adverb,5
有り難い,い-Adjective,5
舞台,Noun,5
一室,Noun,5
驕り,Noun,5
寝起き,Noun,5
ソロ-solo,Noun,5
化け,Noun,5
熱,Noun,5
冬,Noun,5
気候,Noun,5
悲しむ,Verb,5
整理,Noun,5
未遂,Noun,5
肝心,な-Adjective,5
救い,Noun,5
正義,Noun,5
不良,Noun,5
ガス-gas,Noun,5
含む,Verb,5
さっぱり,Adverb,5
放置,Noun,5
向け,Suffix,5
許可,Noun,5
使命,Noun,5
分かり合う,Verb,5
呆れる,Verb,5
筋,Noun,5
疑問,Noun,5
黄泉,Noun,5
生む,Verb,5
封筒,Noun,5
弱る,Verb,5
満たす,Verb,5
特徴,Noun,5
熱心,な-Adjective,5
万全,Noun,5
乗り越える,Verb,5
欲する,Verb,5
ぶつかる,Verb,5
エリザベス-Elizabeth,Noun,5
ノーマル-normal,な-Adjective,5
プレーヤー-player,Noun,5
兄貴,Noun,5
顔色,Noun,5
パイ-pie,Noun,5
ツ,Code,5
メソポタミア-Mesopotamia,Noun,5
夕飯,Noun,5
金曜,Noun,5
緑色,Noun,5
めんどい,い-Adjective,5
任せ,Noun,5
親指,Noun,5
定,Prefix,5
ザ-the,Noun,5
ルサンチマン-ressentiment,Noun,5
優秀,な-Adjective,5
万葉,Noun,5
暁,Noun,5
馴染む,Verb,5
アンデス-Andes,Noun,5
小春,Noun,5
キリスト-Christ,Noun,5
ジャージー-jersey,Noun,5
ホッキョク,Noun,5
アルゼンチン-Argentina,Noun,5
色素,Noun,5
並べる,Verb,5
ドッジ-外国,Noun,5
量,Noun,5
運,Noun,5
気遣う,Verb,5
もじもじ,Adverb,5
尖る,Verb,5
曲,Noun,5
リクエスト-request,Noun,5
噛み締める,Verb,5
アドレス-address,Noun,5
満つ,Verb,5
対等,な-Adjective,5
封書,Noun,5
言い訳,Noun,5
散歩,Noun,5
グループ-group,Noun,5
坊主,Noun,5
