POS,# Occurrences
Particle,118779
Noun,86173
Auxiliary Symbol,72541
Verb,51577
Auxiliary Verb,47144
Pronoun,13762
Adverb,10912
い-Adjective,9662
Suffix,8316
Interjection,4656
な-Adjective,4154
Adnominal,3734
Prefix,2937
Conjunction,2253
Code,1808
