Word,Lemma,POS,# Occurrences
、,、,Auxiliary Symbol,21112
…,…,Auxiliary Symbol,15796
。,。,Auxiliary Symbol,11778
の,の,Particle,9287
て,て,Particle,8435
に,に,Particle,7599
た,た,Auxiliary Verb,7447
は,は,Particle,6062
！,！,Auxiliary Symbol,5810
だ,だ,Auxiliary Verb,5632
か,か,Particle,4951
？,？,Auxiliary Symbol,4855
が,が,Particle,4837
で,で,Particle,4276
と,と,Particle,4075
も,も,Particle,3977
な,な,Particle,3861
し,為る,Verb,3680
を,を,Particle,3320
ん,ず,Auxiliary Verb,3229
ない,ない,Auxiliary Verb,3034
よ,よ,Particle,2920
って,って,Particle,2484
から,から,Particle,2362
ね,ず,Auxiliary Verb,2274
そう,そう,Adverb,1524
“,“,Auxiliary Symbol,1459
”,”,Auxiliary Symbol,1459
お,御,Prefix,1307
何,何,Pronoun,1257
じゃ,で,Conjunction,1246
いる,居る,Verb,1219
けど,けれど,Particle,1213
てる,てる,Auxiliary Verb,1186
こと,事,Noun,1171
です,です,Auxiliary Verb,1146
いい,良い,い-Adjective,962
それ,其れ,Pronoun,945
クマ,クマ,Noun,926
私,私-代名詞,Pronoun,863
さ,為る,Verb,841
事,事,Noun,804
さん,さん,Suffix,783
れ,れる,Auxiliary Verb,727
あ,あっ,Interjection,727
よう,様,な-Adjective,707
い,居る,Verb,697
人,人,Noun,679
なん,何,Pronoun,649
この,此の,Adnominal,637
する,為る,Verb,634
お前,御前,Pronoun,616
たら,た,Auxiliary Verb,603
なっ,成る,Verb,600
もう,もう,Adverb,590
菜々子,ナナコ,Noun,586
ある,有る,Verb,575
ます,ます,Auxiliary Verb,574
どう,どう,Adverb,567
俺,俺,Pronoun,556
先輩,先輩,Noun,554
あの,彼の,Adnominal,549
これ,此れ,Pronoun,520
気,気,Noun,513
見,見る,Verb,513
いう,言う,Verb,508
ちゃん,ちゃん,Suffix,499
言っ,言う,Verb,498
だけ,だけ,Particle,489
今日,今日,Noun,484
だっ,だ,Auxiliary Verb,475
その,其の,Adnominal,471
なら,成る,Verb,470
上,カミ,Noun,464
今,今,Noun,455
ー,ー,Auxiliary Symbol,449
来,来る,Verb,448
ら,等,Suffix,441
まで,まで,Particle,432
鳴,メイ,Code,424
だろ,だ,Auxiliary Verb,418
僕,僕,Pronoun,417
ば,ば,Particle,413
や,や,Auxiliary Verb,410
ねー,ね,Particle,409
ここ,此処,Pronoun,406
なく,ない,Auxiliary Verb,403
わ,わ,Particle,381
自分,自分,Noun,379
そんな,そんな,Adnominal,374
き,来る,Verb,366
くれ,呉れる,Verb,360
やっ,遣る,Verb,359
雪子,ユキコ,Noun,353
無い,無い,い-Adjective,338
思っ,思う,Verb,337
ねえ,ない,Auxiliary Verb,337
なかっ,ない,Auxiliary Verb,337
たい,たい,Auxiliary Verb,333
たち,達,Suffix,328
誰,誰,Pronoun,322
オレ,俺,Pronoun,320
っ,っ,Auxiliary Symbol,319
また,又,Conjunction,315
話,話,Noun,312
～,～,Auxiliary Symbol,310
ちょっと,一寸,Adverb,303
後,後,Noun,298
みんな,皆,Noun,298
こんな,こんな,Adnominal,297
あっ,有る,Verb,295
なんて,なんて,Particle,294
あたし,私,Pronoun,293
まし,ます,Auxiliary Verb,290
くん,君,Suffix,288
え,えっ,Interjection,285
思う,思う,Verb,276
テレビ,テレビ-television,Noun,275
なる,成る,Verb,274
みたい,みたい,な-Adjective,273
ス,です,Auxiliary Verb,273
時,時,Noun,272
子,子,Noun,265
前,前,Noun,263
出,出る,Verb,262
ぜ,ぜ,Particle,259
ませ,ます,Auxiliary Verb,258
事件,事件,Noun,257
家,家,Noun,256
一緒,一緒,Noun,251
中,中,Noun,249
せ,せる,Auxiliary Verb,247
ちゃっ,ちゃう,Auxiliary Verb,243
行っ,行く,Verb,242
られ,られる,Auxiliary Verb,241
りせ,利する,Verb,241
分かっ,分かる,Verb,240
じゃあ,で,Conjunction,240
霧,霧,Noun,240
>,＞,Auxiliary Symbol,240
<,＜,Auxiliary Symbol,238
言う,言う,Verb,236
もの,物,Noun,235
直,直,な-Adjective,231
まだ,未だ,Adverb,230
目,目,Noun,227
いつ,何時,Pronoun,226
斗,斗,Noun,225
でしょ,です,Auxiliary Verb,223
少し,少し,Adverb,222
日,日,Noun,222
じゃん,じゃん,Particle,215
千枝,チエ,Noun,214
へ,へ,Particle,212
聞い,聞く,Verb,208
犯人,犯人,Noun,208
あー,ああ,Interjection,203
あれ,彼れ,Pronoun,199
方,方,Noun,196
だろう,だ,Auxiliary Verb,195
うん,うん,Interjection,192
ぞ,ぞ,Particle,192
一人,一人,Noun,190
ごめん,御免,Noun,188
ま,まあ,Adverb,184
堂島,ドウジマ,Noun,183
先生,先生,Noun,183
あなた,貴方,Pronoun,182
完二,カンジ,Noun,182
っス,です,Auxiliary Verb,182
そ,そう-様態,な-Adjective,181
顔,顔,Noun,181
す,です,Auxiliary Verb,180
より,より,Particle,179
行く,行く,Verb,179
一,一,Noun,179
笑っ,笑う,Verb,179
者,者,Suffix,177
力,力,Noun,177
考え,考える,Verb,176
ため,為,Noun,176
もん,もの,Particle,174
陽介,ヨウスケ,Noun,171
世界,世界,Noun,170
れる,れる,Auxiliary Verb,169
好き,好き,な-Adjective,165
学校,学校,Noun,163
よく,良く,Adverb,163
確か,確か,Adverb,161
本当,本当,Noun,158
くる,来る,Verb,157
なさい,為さる,Verb,157
入れ,入れる,Verb,157
帰っ,返る,Verb,157
父,父,Noun,156
知っ,知る,Verb,155
話し,話す,Verb,154
こう,こう,Adverb,154
でき,出来る,Verb,154
違う,違う,Verb,153
町,町,Noun,151
意味,意味,Noun,150
同じ,同じ,な-Adjective,148
言わ,言う,Verb,148
しか,しか,Particle,148
時間,時間,Noun,147
天城,アマギ,Noun,147
感じ,感じ,Noun,147
そっ,そう,Adverb,146
部,部,Noun,145
う,うう,Interjection,144
あり,有る,Verb,143
てん,てる,Auxiliary Verb,143
とこ,所,Noun,143
すぐ,直ぐ,Adverb,143
ちゃう,ちゃう,Auxiliary Verb,143
ねぇ,ね,Particle,143
まあ,まあ,Adverb,142
君,君-代名詞,Pronoun,141
ずっと,ずっと,Adverb,140
いや,否,Interjection,139
なぁ,な,Particle,139
ああ,ああ,Interjection,138
どこ,何処,Pronoun,137
ホント,本当,Noun,136
きっと,急度,Adverb,136
ありがとう,有り難う,Interjection,135
関係,関係,Noun,135
ただ,唯,Adverb,134
手,手,Noun,133
警察,警察,Noun,133
アンタ,貴方,Pronoun,133
明日,明日,Noun,132
み,見る,Verb,132
ぁ,ぁ,Auxiliary Symbol,131
二人,二人,Noun,130
ヤツ,奴,Noun,129
分かん,分かる,Verb,129
分から,分かる,Verb,128
知ら,知る,Verb,128
あい,あい,Interjection,127
たり,たり,Particle,127
やる,遣る,Verb,127
一条,イチジョウ,Noun,127
でしょう,です,Auxiliary Verb,126
ほら,ほら,Interjection,126
わけ,訳,Noun,126
ダメ,駄目,Noun,126
生田目,ナマタメ,Noun,125
つ,つ,Particle,125
帰る,返る,Verb,125
男,男,Noun,125
こっち,此方,Pronoun,124
なー,な,Particle,124
１,,Noun,124
大丈夫,大丈夫,な-Adjective,123
入っ,入る,Verb,123
つい,つく,Verb,122
/,／,Auxiliary Symbol,122
母,母,Noun,121
長瀬,ナガセ,Noun,121
生,生,Suffix,120
結実,結実,Noun,120
もし,若し,Adverb,119
待っ,待つ,Verb,119
場所,場所,Noun,118
なきゃ,ない,Auxiliary Verb,118
ず,ず,Auxiliary Verb,118
くれる,呉れる,Verb,118
ところ,所,Noun,116
もっと,もっと,Adverb,116
ちゃんと,ちゃんと,Adverb,116
ち,ちっ,Adverb,115
なんか,なんか,Particle,115
えっと,えーと,Interjection,114
兄,兄,Noun,113
放課,放課,Noun,113
綾音,アヤネ,Noun,112
ご,御,Prefix,111
とにかく,兎に角,Adverb,111
ください,下さる,Verb,110
別,別,Noun,110
やっぱ,矢張り,Adverb,110
はい,はい,Interjection,110
なり,成る,Verb,109
度,度,Noun,109
欲しい,欲しい,い-Adjective,109
色々,色々,Adverb,109
雨,雨,Noun,108
悪い,悪い,い-Adjective,107
ッ,っ,Auxiliary Symbol,107
見え,見える,Verb,106
バカ,馬鹿,Noun,106
やっぱり,矢張り,Adverb,106
間,間,Noun,106
居,居る,Verb,105
心配,心配,Noun,105
２,,Noun,105
山野,ヤマノ,Noun,104
よかっ,良い,い-Adjective,104
ほんと,本当,Noun,103
分かる,分かる,Verb,103
らしい,らしい,Auxiliary Verb,103
あんな,あんな,な-Adjective,103
あいつ,彼奴,Pronoun,102
しよう,為る,Verb,102
・,・,Auxiliary Symbol,102
全然,全然,Adverb,101
おい,おい,Interjection,101
次,次,Noun,100
小西,コニシ,Noun,100
様,様,Suffix,99
はは,はは,Interjection,99
出し,出す,Verb,99
さっき,さっき,Noun,99
忘れ,忘れる,Verb,99
秀,シュウ,Noun,98
