Word,Lemma,POS,# Occurrences
マジ,まじ,な-Adjective,97
今度,今度,Noun,97
えっ,えっ,Interjection,97
花村,ハナムラ,Noun,96
全部,全部,Noun,96
まま,侭,Noun,96
気持ち,気持ち,Noun,95
みる,見る,Verb,94
過ごし,過ごす,Verb,93
ましょう,ます,Auxiliary Verb,92
もらっ,貰う,Verb,92
出来,出来る,Verb,92
戻っ,戻る,Verb,92
無理,無理,Noun,91
シャドウ,シャドー-shadow,Noun,91
食べ,食べる,Verb,91
うち,内,Noun,90
持っ,持つ,Verb,90
ウチ,内,Noun,89
絶対,絶対,Noun,89
心,心,Noun,88
来る,来る,Verb,87
言え,言う,Verb,87
しまっ,仕舞う,Verb,87
早く,早い,い-Adjective,87
大事,大事,な-Adjective,87
声,声,Noun,86
キミ,君-代名詞,Pronoun,86
言い,言う,Verb,86
映っ,映る,Verb,86
実,実,Noun,85
ジュ,ジュ-je,Noun,85
ネス,ネス,Noun,85
っけ,け,Particle,85
よぉ,よ,Particle,85
ちょ,一寸,Adverb,85
絆,絆,Noun,85
できる,出来る,Verb,85
先,先,Noun,84
足立,アダチ,Noun,84
マヨナカテレビ,,Noun,84
行き,行く,Verb,84
他,他,Noun,84
知れ,知れる,Verb,83
感じる,感ずる,Verb,83
たく,宅,Noun,83
やつ,奴,Noun,83
最近,最近,Noun,83
悠,ユウ,Noun,82
やめ,止める,Verb,82
貴方,貴方,Pronoun,81
ありがと,有り難う,Interjection,81
良かっ,良い,い-Adjective,81
部活,部活,Noun,81
勉強,勉強,Noun,81
たって,たって,Particle,80
年,年,Noun,79
死ん,死ぬ,Verb,79
人間,人間,Noun,79
仲,仲,Noun,79
尚紀,ナオキ,Noun,79
やら,やら,Particle,78
なに,何,Pronoun,78
ちゃ,て,Particle,78
終わっ,終わる,Verb,78
ござい,御座る,Verb,77
仕事,仕事,Noun,77
二,二,Noun,77
アイツ,彼奴,Pronoun,77
答え,答える,Verb,77
皆,皆,Noun,77
作っ,作る,Verb,77
こそ,こそ,Particle,76
せい,所為,Noun,76
ど,どう,Adverb,76
RED,,Noun,76
まさか,まさか,Adverb,75
いっ,言う,Verb,75
変,変,Noun,75
こ,来る,Verb,74
ワケ,訳,Noun,73
買っ,買う,Verb,73
ぉ,ぉ,Auxiliary Symbol,73
部屋,部屋,Noun,72
とき,時,Noun,72
約束,約束,Noun,72
願い,願う,Verb,72
嬉し,嬉しい,い-Adjective,72
られる,られる,Auxiliary Verb,71
げ,気,Suffix,71
そこ,其処,Pronoun,71
まず,先ず,Adverb,70
通り,通り,Noun,70
どんな,どんな,Adnominal,70
旅館,旅館,Noun,70
あはは,あはは,Interjection,70
でる,てる,Auxiliary Verb,70
覚え,覚える,Verb,70
仲間,仲間,Noun,70
アナ,アナ-announcer,Noun,69
最初,最初,Noun,69
みよう,見る,Verb,69
いえ,言う,Verb,69
チャン,ちゃん,Suffix,69
ふふっ,ふふ,Interjection,69
ほう,ほう,Interjection,68
女,女,Noun,68
体,体,Noun,68
思い,思う,Verb,68
はず,筈,Noun,67
家族,家族,Noun,67
問題,問題,Noun,67
里中,サトナカ,Noun,67
よー,よ,Particle,67
っつ,つう,Auxiliary Verb,67
あと,後,Noun,66
ハァ,はあ,Interjection,66
頭,頭,Noun,66
かしら,かしら,Particle,66
そして,そして,Conjunction,65
稲羽,イナバ,Noun,65
高校,高校,Noun,65
急,急,Noun,65
つけ,付ける,Verb,65
行こう,行く,Verb,65
えー,えー,Interjection,65
一番,一番,Adverb,65
言葉,言葉,Noun,65
どっ,何処,Pronoun,64
以上,以上,Noun,64
ペルソナ,ペルソナ-persona,Noun,64
んな,そんな,Adnominal,64
生き,生きる,Verb,64
女子,女子,Noun,63
でし,です,Auxiliary Verb,63
かけ,掛ける,Verb,63
子ども,子供,Noun,63
月,月,Noun,62
疲れ,疲れ,Noun,62
帰り,帰り,Noun,62
出る,出る,Verb,62
たかっ,たい,Auxiliary Verb,62
昨日,昨日,Noun,62
肉,肉,Noun,62
頃,頃,Noun,61
夜,夜,Noun,61
助け,助ける,Verb,61
すん,為る,Verb,61
向こう,向こう,Noun,61
頑張っ,頑張る,Verb,61
ええ,ええ,Interjection,60
すごい,凄い,い-Adjective,60
元気,元気,Noun,60
殺人,殺人,Noun,60
テスト,テスト-test,Noun,60
探偵,探偵,Noun,60
病院,病院,Noun,60
まー,まー,Interjection,59
いく,行く,Verb,59
教え,教える,Verb,59
見る,見る,Verb,59
ふふ,ふふ,Interjection,59
くらい,くらい,Particle,58
意外,意外,な-Adjective,58
まぁ,まあ,Adverb,58
ったく,全く,Adverb,58
的,的,Suffix,58
嬉しい,嬉しい,い-Adjective,58
真由美,マユミ,Noun,57
ココ,ココ-coco,Noun,57
川,カワ,Code,57
練習,練習,Noun,57
解決,解決,Noun,56
てっ,てく,Auxiliary Verb,56
必要,必要,Noun,56
優しい,優しい,い-Adjective,56
深まっ,深まる,Verb,56
信じ,信ずる,Verb,55
普通,普通,Noun,55
すぎ,過ぎ,Suffix,55
なあ,な,Particle,55
楽しい,楽しい,い-Adjective,55
勇太,ユウタ,Noun,55
く,九,Noun,54
訳,訳,Noun,54
連れ,連れる,Verb,54
３,,Noun,54
っす,です,Auxiliary Verb,54
いけ,行く,Verb,54
街,街,Suffix,53
大変,大変,な-Adjective,53
過ぎ,過ぎ,Suffix,53
全て,全て,Noun,53
モロ,モロ-Morro,Noun,53
結構,結構,Adverb,53
噂,噂,Noun,53
勝手,勝手,Noun,53
あら,あら,Interjection,53
そろそろ,そろそろ,Adverb,52
屋,屋,Suffix,52
三,三,Noun,52
あげる,上げる,Verb,52
間違い,間違い,Noun,52
センセイ,先生,Noun,52
特別,特別,な-Adjective,52
白,白,Noun,52
よし,良し,Noun,51
うっ,うう,Interjection,51
可能,可能,な-Adjective,51
初めて,初めて,Adverb,51
小夜子,サヨコ,Noun,51
送っ,送る,Verb,50
居る,居る,Verb,50
性,性,Suffix,50
決め,決める,Verb,50
姉,姉,Noun,50
絵里,エリ,Noun,50
名前,名前,Noun,49
キン,金,Noun,49
奴,奴,Noun,49
相手,相手,Noun,49
行か,行く,Verb,49
起き,起きる,Verb,49
最後,最後,Noun,49
逃げ,逃げる,Verb,49
文化,文化,Noun,49
殺し,殺す,Verb,48
つもり,積り,Noun,48
元,元,Noun,48
完,完,Noun,48
商店,商店,Noun,47
怖い,怖い,い-Adjective,47
店,店,Noun,47
終わり,終わり,Noun,47
女の子,女の子,Noun,47
件,件,Noun,47
おっ,おっ,Interjection,47
鐘,鐘,Suffix,47
なれ,成る,Verb,47
親,親,Noun,46
外,外,Noun,46
所,所,Noun,46
授業,授業,Noun,46
あっち,彼方,Pronoun,46
早紀,サキ,Noun,46
もー,もう,Interjection,46
楽,楽,Noun,46
被害,被害,Noun,46
いっぱい,一杯,Adverb,46
手紙,手紙,Noun,46
おう,おお,Interjection,45
市,市,Noun,45
生徒,生徒,Noun,45
連絡,連絡,Noun,45
遊び,遊び,Noun,45
仕方ない,仕方無い,い-Adjective,45
すごく,凄い,い-Adjective,45
金,金,Noun,45
すみ,済む,Verb,45
べき,べし,Auxiliary Verb,45
回,回,Noun,45
謎,謎,Noun,44
しろ,為る,Verb,44
都会,都会,Noun,44
とりあえず,取り敢えず,Adverb,44
つー,つう,Auxiliary Verb,44
アレ,彼れ,Pronoun,44
電話,電話,Noun,44
カッコ,括弧,Noun,44
殺さ,殺す,Verb,44
ひさ,ヒサ,Noun,44
こいつ,此奴,Pronoun,43
どー,どう,Adverb,43
ぐらい,くらい,Particle,43
見つけ,見付ける,Verb,43
あんた,貴方,Pronoun,43
始め,始める,Verb,43
姿,姿,Noun,43
様子,様子,Noun,43
書い,書く,Verb,43
キツネ,狐,Noun,43
現実,現実,Noun,42
興味,興味,Noun,42
そりゃ,其れ,Pronoun,42
モン,物,Noun,42
結局,結局,Noun,42
いー,良い,い-Adjective,42
買い物,買い物,Noun,42
乃,の,Particle,42
多い,多い,い-Adjective,41
番組,番組,Noun,41
クラス,クラス-class,Noun,41
ながら,ながら,Particle,41
すっ,すっ,Adverb,41
コレ,此れ,Pronoun,41
捜査,捜査,Noun,41
無事,無事,な-Adjective,41
べ,べい,Particle,41
やれ,やれ,Interjection,41
彼女,彼女,Pronoun,41
しかも,然も,Conjunction,41
しれ,知れる,Verb,41
会っ,会う,Verb,41
良く,良い,い-Adjective,41
面倒,面倒,Noun,41
王,王,Noun,41
夢,夢,Noun,40
しばらく,暫く,Adverb,40
ウソ,嘘,Noun,40
無かっ,無い,い-Adjective,40
容疑,容疑,Noun,40
伝え,伝える,Verb,40
見せ,見せる,Verb,40
本気,本気,Noun,40
おかげ,御陰,Noun,40
楽し,楽しい,い-Adjective,40
正直,正直,Adverb,40
良い,良い,い-Adjective,40
作る,作る,Verb,40
固い,固い,い-Adjective,39
とっ,取る,Verb,39
昔,昔,Noun,39
あそこ,彼処,Pronoun,39
入る,入る,Verb,39
優しく,優しい,い-Adjective,39
ボク,僕,Pronoun,39
思い出し,思い出す,Verb,39
ヨ,よ,Particle,39
必ず,必ず,Adverb,39
数,数,Noun,39
真実,真実,Noun,39
やり,遣る,Verb,39
楽しみ,楽しみ,Noun,39
恥ずかしい,恥ずかしい,い-Adjective,39
ダミー,ダミー-dummy,Noun,39
さぁ,さあ,Interjection,38
車,車,Noun,38
ニュース,ニュース-news,Noun,38
聞く,聞く,Verb,38
とも,共,Suffix,38
てく,てく,Auxiliary Verb,38
空気,空気,Noun,38
ネ,ね,Particle,38
迷惑,迷惑,Noun,38
聞こえ,聞こえる,Verb,38
準備,準備,Noun,38
付き合っ,付き合う,Verb,38
下,下,Noun,38
カード,カード-card,Noun,37
など,など,Particle,37
貴様,貴様,Pronoun,37
ぇ,ぇ,Auxiliary Symbol,37
遺体,遺体,Noun,37
っぽい,ぽい,Suffix,37
あん,有る,Verb,37
分かり,分かる,Verb,37
情報,情報,Noun,37
やがっ,やがる,Auxiliary Verb,37
BLUE,,Noun,37
自身,自身,Noun,37
風,風,Noun,37
恥ずかし,恥ずかしい,い-Adjective,37
別れ,別れる,Verb,37
客,客,Noun,36
よろしく,宜しく,Adverb,36
ちまっ,ちまう,Auxiliary Verb,36
特に,特に,Adverb,36
っつー,つう,Auxiliary Verb,36
例,例,Noun,36
出来る,出来る,Verb,36
さー,さ,Particle,36
本,本,Suffix,36
嫌,嫌,な-Adjective,36
ううん,ううん,Interjection,36
見つかっ,見付かる,Verb,36
とく,とく,Auxiliary Verb,36
おー,おお,Interjection,36
得,得,Noun,36
あげ,上げる,Verb,36
決まっ,決まる,Verb,36
んー,んー,Interjection,36
ガキ,餓鬼,Noun,36
今年,今年,Noun,35
頼む,頼む,Verb,35
友達,友達,Noun,35
たー,た,Auxiliary Verb,35
ヒマ,暇,Noun,35
続い,続く,Verb,35
ハハ,はは,Interjection,35
発見,発見,Noun,35
寝,寝る,Verb,35
すげー,凄い,い-Adjective,35
悪く,悪い,い-Adjective,35
状況,状況,Noun,35
ほど,ほど,Particle,35
ぅ,ぅ,Auxiliary Symbol,35
豆腐,豆腐,Noun,35
クリスマス,クリスマス-Christmas,Noun,35
人生,人生,Noun,34
似,似る,Verb,34
うわ,うわ,Interjection,34
探し,探す,Verb,34
晴れ,晴れ,Noun,34
困っ,困る,Verb,34
上手く,旨い,い-Adjective,34
認め,認める,Verb,34
少年,少年,Noun,34
せる,せる,Auxiliary Verb,34
場合,場合,Noun,34
らしく,らしい,Suffix,34
来い,来る,Verb,34
休み,休む,Verb,34
役,役,Noun,34
彼,彼,Pronoun,34
神,神,Noun,34
会,会,Noun,33
長い,長い,い-Adjective,33
静か,静か,な-Adjective,33
どっち,何方,Pronoun,33
ばかり,ばかり,Particle,33
今回,今回,Noun,33
達,達,Suffix,33
はぁ,はあ,Interjection,33
強い,強い,い-Adjective,33
不安,不安,Noun,33
やろう,遣る,Verb,33
安心,安心,Noun,33
可愛い,可愛い,い-Adjective,33
り,り,Auxiliary Verb,33
病室,病室,Noun,33
演劇,演劇,Noun,33
おく,置く,Verb,32
物,物,Suffix,32
天気,天気,Noun,32
点,点,Noun,32
転校,転校,Noun,32
ばっか,ばかり,Particle,32
分,分,Noun,32
ひとり,一人,Noun,32
可哀想,可哀想,な-Adjective,32
残念,残念,な-Adjective,32
代わり,代わり,Noun,32
ばっかり,ばかり,Particle,32
真,真,Prefix,32
雪,雪,Noun,32
黙っ,黙る,Verb,32
リーダー,リーダー-leader,Noun,32
ひと,一,Noun,32
５,,Noun,32
合コン,合コン,Noun,32
口,口,Noun,32
頷い,頷く,Verb,32
バスケ,バスケ-basketball,Noun,32
どれ,どれ,Interjection,31
バイト,バイト-Arbeit,Noun,31
子供,子供,Noun,31
女性,女性,Noun,31
感謝,感謝,Noun,31
花,花,Noun,31
理由,理由,Noun,31
辺,辺,Noun,31
見える,見える,Verb,31
説明,説明,Noun,31
寂し,寂しい,い-Adjective,31
刑事,刑事,Noun,31
すれ,為る,Verb,31
料理,料理,Noun,31
くせ,癖,Noun,31
テメェ,てまえ,Pronoun,31
大切,大切,な-Adjective,31
久保,クボ,Noun,31
サッカー,サッカー-soccer,Noun,31
ぬ,ず,Auxiliary Verb,30
る,り,Auxiliary Verb,30
そー,そう,Adverb,30
消え,消える,Verb,30
言や,言う,Verb,30
なけれ,ない,Auxiliary Verb,30
円,円-助数詞,Noun,30
伝わっ,伝わる,Verb,30
途中,途中,Noun,30
こないだ,此の間,Noun,30
考える,考える,Verb,30
久慈,クジ,Noun,30
幸せ,幸せ,Noun,30
ナナ,ナナ,Noun,30
存在,存在,Noun,30
ホッと,ほっと,Adverb,30
無く,無い,い-Adjective,29
毎日,毎日,Noun,29
やっと,漸と,Adverb,29
期待,期待,Noun,29
トコ,所,Noun,29
死体,死体,Noun,29
早い,早い,い-Adjective,29
逆,逆,Noun,29
んじゃ,で,Conjunction,29
遊ん,遊ぶ,Verb,29
平気,平気,Noun,29
妙,妙,Noun,29
面白い,面白い,い-Adjective,29
大,大,Prefix,29
高,高,Prefix,29
やる気,遣る気,Noun,29
いか,行く,Verb,29
何故,何故,Adverb,29
泣い,泣く,Verb,29
生まれ,生まれる,Verb,29
以外,以外,Noun,29
不思議,不思議,Noun,29
置い,置く,Verb,29
巽,タツミ,Noun,29
母親,母親,Noun,29
会い,会う,Verb,29
必死,必死,な-Adjective,29
会え,会う,Verb,29
変わっ,変わる,Verb,28
大きな,大きな,Adnominal,28
こちら,此方,Pronoun,28
よっ,ヨッ,Noun,28
女将,女将,Noun,28
行け,行く,Verb,28
コイツ,此奴,Pronoun,28
調べ,調べ,Noun,28
流れ,流れ,Noun,28
んで,で,Conjunction,28
しかし,然し,Conjunction,28
一体,一体,Adverb,28
入れる,入れる,Verb,28
たろ,た,Auxiliary Verb,28
しょう,仕様,Noun,28
＞,＞,Auxiliary Symbol,28
多分,多分,Adverb,28
つまり,詰まり,Adverb,28
意識,意識,Noun,28
コミュ,コミュ-community,Noun,28
４,,Noun,28
間違え,間違える,Verb,28
アイドル,アイドル-idol,Noun,28
いら,等,Suffix,27
いきなり,行成,Adverb,27
内,内,Suffix,27
当然,当然,な-Adjective,27
ちょうど,丁度,Adverb,27
帰ろう,返る,Verb,27
慣れ,慣れる,Verb,27
聞か,聞く,Verb,27
旅行,旅行,Noun,27
超,超,Prefix,27
そっち,其方,Pronoun,27
気付い,気付く,Verb,27
ヨースケ,ヨウスケ,Noun,27
おかしい,可笑しい,い-Adjective,27
動機,動機,Noun,27
嫌い,嫌い,Noun,27
ゲーム,ゲーム-game,Noun,27
ちゃい,ちゃう,Auxiliary Verb,27
誘拐,誘拐,Noun,27
過ごす,過ごす,Verb,27
男の子,男の子,Noun,27
やれる,遣る,Verb,27
神社,神社,Noun,27
大人,大人,Noun,27
近く,近く,Noun,26
結果,結果,Noun,26
奥,奥,Noun,26
つっ,つう,Auxiliary Verb,26
朝,朝,Noun,26
新しい,新しい,い-Adjective,26
春,春,Noun,26
もらう,貰う,Verb,26
聞き,聞く,Verb,26
待て,待つ,Verb,26
何処,何処,Pronoun,26
渡し,渡す,Verb,26
質問,質問,Noun,26
寂しい,寂しい,い-Adjective,26
無,無,Prefix,26
どうせ,どうせ,Adverb,26
もちろん,勿論,Adverb,26
番,番,Noun,26
選ん,選ぶ,Verb,26
全員,全員,Noun,26
友だち,友達,Noun,26
推理,推理,Noun,26
楽しく,楽しい,い-Adjective,26
えと,干支,Noun,26
食材,食材,Noun,26
捨て,捨てる,Verb,26
じゃぁ,で,Conjunction,26
理解,理解,Noun,26
負け,負け,Noun,26
取っ,取る,Verb,26
祭,祭,Suffix,26
ケーキ,ケーキ-cake,Noun,26
特訓,特訓,Noun,26
照れ,照れる,Verb,25
っしょ,です,Auxiliary Verb,25
とい,とく,Auxiliary Verb,25
変わら,変わる,Verb,25
受け,受ける,Verb,25
放っ,放つ,Verb,25
思わ,思う,Verb,25
わぁ,わ,Particle,25
なさ,無い,い-Adjective,25
冗談,冗談,Noun,25
映る,映る,Verb,25
思え,思う,Verb,25
余計,余計,な-Adjective,25
ちまう,ちまう,Auxiliary Verb,25
とても,迚も,Adverb,25
わー,わあ,Interjection,25
協力,協力,Noun,25
知り,知る,Verb,25
メガネ,眼鏡,Noun,25
あんまり,余り,Adverb,25
だぁ,だ,Auxiliary Verb,25
人物,人物,Noun,25
呼ん,呼ぶ,Verb,25
やー,や,Particle,25
新た,新た,な-Adjective,25
かぁ,か,Particle,25
味,味,Noun,25
苦手,苦手,Noun,25
弁当,弁当,Noun,25
すま,済む,Verb,25
来週,来週,Noun,25
ちなみ,因み,Noun,25
せっかく,折角,Adverb,25
泣き,泣き,Noun,25
相談,相談,Noun,25
支え,支える,Verb,25
参り,参る,Verb,24
一応,一応,Noun,24
実際,実際,Noun,24
ジュネス,,Noun,24
用,用,Noun,24
知り合い,知り合い,Noun,24
気分,気分,Noun,24
へー,へえ,Interjection,24
全く,全く,Adverb,24
買う,買う,Verb,24
そん,其れ,Pronoun,24
半分,半分,Noun,24
やん,遣る,Verb,24
内容,内容,Noun,24
連続,連続,Noun,24
怖く,怖い,い-Adjective,24
死ぬ,死ぬ,Verb,24
任せ,任せる,Verb,24
らん,らん,Adverb,24
守っ,守る,Verb,24
待つ,待つ,Verb,24
笑顔,笑顔,Noun,24
為,為,Noun,24
捕まえ,捕まえる,Verb,24
強く,強い,い-Adjective,24
田舎,田舎,Noun,24
運動,運動,Noun,24
辛い,辛い,Suffix,24
失敗,失敗,Noun,24
暗く,暗い,い-Adjective,24
アタシ,私,Pronoun,24
買い,買う,Verb,24
悲し,悲しい,い-Adjective,24
おお,おお,Interjection,24
状,状,Suffix,24
おっと,おっと,Interjection,23
不,不,Prefix,23
男子,男子,Noun,23
さあ,さあ,Interjection,23
む,む,Auxiliary Verb,23
周り,周り,Noun,23
室,室,Suffix,23
まったく,全く,Adverb,23
歳,歳,Suffix,23
