Word,Lemma,POS,# Occurrences
声,声,Noun,187
仲間,仲間,Noun,186
ホー,ほう,Interjection,183
心,心,Noun,182
大丈夫,大丈夫,な-Adjective,182
てん,てる,Auxiliary Verb,182
きっと,急度,Adverb,182
月,月,Noun,181
つ,つ,Suffix,179
街,街,Noun,179
双葉,双葉,Noun,178
番組,番組,Noun,177
ダメ,駄目,Noun,172
なぁ,な,Particle,171
こっち,此方,Pronoun,171
よし,よし,Interjection,170
ちゃん,ちゃん,Suffix,170
次,次,Noun,169
みる,見る,Verb,168
ください,下さる,Verb,168
あー,ああ,Interjection,168
奴,奴,Noun,167
なさい,為さる,Verb,167
2,,Noun,165
別,別,Noun,164
らしい,らしい,Auxiliary Verb,164
られる,られる,Auxiliary Verb,163
勉強,勉強,Noun,163
本,本,Noun,163
やら,遣る,Verb,162
内容,内容,Noun,162
学校,学校,Noun,161
言葉,言葉,Noun,160
まぁ,まあ,Adverb,160
欲しい,欲しい,い-Adjective,160
上,上,Noun,159
本当,本当,Noun,159
準備,準備,Noun,159
物,物,Noun,158
え,得る,Verb,156
早く,早い,い-Adjective,154
入れ,入れる,Verb,153
とこ,所,Noun,153
同じ,同じ,な-Adjective,152
つもり,積り,Noun,151
子,子,Noun,151
知ら,知る,Verb,150
たく,たい,Auxiliary Verb,149
なに,何,Pronoun,149
まま,侭,Noun,147
マジ,まじ,な-Adjective,147
円,円-助数詞,Noun,147
チャン,チャン-channel,Noun,146
もし,若し,Adverb,144
ところ,所,Noun,144
通り,通り,Noun,143
感じ,感じ,Noun,143
こう,こう,Adverb,142
意味,意味,Noun,142
出来,出来る,Verb,141
知っ,知る,Verb,141
絶対,絶対,Noun,141
くらい,くらい,Particle,138
調べ,調べる,Verb,137
・,・,Auxiliary Symbol,137
さっき,さっき,Noun,136
ゲーム,ゲーム-game,Noun,136
入っ,入る,Verb,135
獅童,シドウ,Noun,135
忘れ,忘れる,Verb,134
ちゃんと,ちゃんと,Adverb,133
良い,良い,い-Adjective,133
くる,来る,Verb,133
願い,願い,Noun,133
集合,集合,Noun,133
ま,間,Noun,131
警察,警察,Noun,131
とく,とく,Auxiliary Verb,131
教え,教える,Verb,130
かけ,掛ける,Verb,130
やめ,止める,Verb,129
しれ,知れる,Verb,129
ペルソナ,ペルソナ-persona,Noun,128
行き,行く,Verb,128
ごめん,御免,Noun,127
そろそろ,そろそろ,Adverb,126
アジト,アジト-agitating point,Noun,126
裏,裏,Noun,125
なんか,なんか,Particle,125
すぎ,過ぎる,Verb,124
す,です,Auxiliary Verb,123
こそ,こそ,Particle,122
オクムラ,オクムラ,Noun,122
おく,置く,Verb,122
用,用,Noun,121
ちゃっ,ちゃう,Auxiliary Verb,121
助け,助け,Noun,121
しろ,為る,Verb,120
ちゃう,ちゃう,Auxiliary Verb,120
など,など,Particle,120
メジエド,,Noun,120
覚え,覚える,Verb,119
確か,確か,な-Adjective,119
ス,です,Auxiliary Verb,119
ナ,な,Particle,119
以上,以上,Noun,118
なきゃ,ない,Auxiliary Verb,118
かしら,かしら,Particle,118
頼む,頼む,Verb,118
アイツ,彼奴,Pronoun,117
もっと,もっと,Adverb,117
とき,時,Noun,116
つけ,付ける,Verb,116
来る,来る,Verb,116
どんな,どんな,Adnominal,116
分かっ,分かる,Verb,116
期待,期待,Noun,116
夜,夜,Noun,116
若い,若い,い-Adjective,115
絵,絵,Noun,115
家,家,Noun,115
枚,枚,Suffix,114
今回,今回,Noun,113
潜入,潜入,Noun,113
ワタシ,私,Pronoun,113
とけ,とく,Auxiliary Verb,112
男,男,Noun,112
まず,先ず,Adverb,110
言い,言う,Verb,110
モルガナ,モルガナ,Noun,110
色々,色々,Adverb,110
二,二,Noun,110
イ,イ,Code,110
せる,せる,Auxiliary Verb,109
鴨志田,カモシダ,Noun,109
斑目,マダラメ,Noun,109
言え,言う,Verb,109
いっ,行く,Verb,109
じゃん,じゃん,Particle,108
気持ち,気持ち,Noun,108
ターゲット,ターゲット-target,Noun,108
いく,行く,Verb,107
そ,そう,Adverb,106
現実,現実,Noun,106
ホント,本当,Noun,106
とにかく,兎に角,Adverb,105
女,女,Noun,105
ほしい,欲しい,い-Adjective,105
事件,事件,Noun,105
べき,べし,Auxiliary Verb,105
扉,扉,Noun,105
おり,居る,Verb,105
攻撃,攻撃,Noun,104
問題,問題,Noun,104
カット,カット-cut,Noun,104
顔,顔,Noun,104
大事,大事,な-Adjective,103
室,室,Suffix,102
出し,出す,Verb,101
出す,出す,Verb,101
いえ,言う,Verb,101
見つけ,見付ける,Verb,101
ただ,唯,Adverb,100
やっぱ,矢張り,Adverb,100
ページ,ページ-page,Noun,100
さすが,流石,Adverb,99
心配,心配,Noun,99
ちゃ,て,Particle,99
可能,可能,な-Adjective,98
たり,たり,Particle,98
わかる,分かる,Verb,98
疲れ,疲れる,Verb,98
結果,結果,Noun,97
あなた,貴方,Pronoun,97
探し,探し,Noun,97
アナタ,貴方,Pronoun,97
好き,好き,な-Adjective,96
作戦,作戦,Noun,96
はい,はい,Interjection,96
ありがとう,有り難う,Interjection,96
ニー,ニー-knee,Noun,96
やっぱり,矢張り,Adverb,95
行動,行動,Noun,95
性,性,Suffix,95
モノ,物,Noun,94
客,客,Noun,94
件,件,Noun,94
とりあえず,取り敢えず,Adverb,94
道,道,Noun,94
外,外,Noun,93
屋,屋,Suffix,93
カ,蚊,Noun,93
ネット,ネット-net,Noun,93
コイン,コイン-coin,Noun,93
なあ,な,Particle,92
ッ,っ,Auxiliary Symbol,92
利用,利用,Noun,92
真,真,Noun,92
アン,アン-Anne,Noun,92
楽しみ,楽しみ,Noun,92
人気,人気,Noun,92
待つ,待つ,Verb,91
フフ,ふふ,Interjection,91
10,,Noun,91
カード,カード-card,Noun,91
5,,Noun,91
バカ,馬鹿,Noun,90
興味,興味,Noun,90
うん,うん,Interjection,90
候補,候補,Noun,90
無理,無理,Noun,89
すれ,為る,Verb,89
相談,相談,Noun,89
やがっ,やがる,Auxiliary Verb,88
場合,場合,Noun,88
仕事,仕事,Noun,88
やろう,遣る,Verb,88
メメントス,,Noun,88
ルブラン,ルブラン-Leblanc,Noun,88
大,大,Prefix,87
一人,一人,Noun,87
負け,負け,Noun,87
3,,Noun,87
都合,都合,Noun,86
誘い,誘う,Verb,86
約束,約束,Noun,86
竜司,リュウジ,Noun,85
こ,っこ,Suffix,85
夢,夢,Noun,85
ながら,ながら,Particle,85
やつ,奴,Noun,84
せい,所為,Noun,84
カモシダ,,Noun,84
っけ,け,Particle,84
選挙,選挙,Noun,84
帰っ,返る,Verb,84
感想,感想,Noun,84
地下,地下,Noun,84
確認,確認,Noun,83
状況,状況,Noun,83
付き合っ,付き合う,Verb,83
よかっ,良い,い-Adjective,83
例,例,Noun,83
ヒマ,暇,Noun,83
でし,です,Auxiliary Verb,83
居,居る,Verb,82
まさか,まさか,Adverb,82
ハル,ハル,Noun,81
ほど,ほど,Particle,81
待て,待つ,Verb,81
でる,てる,Auxiliary Verb,81
違う,違う,Verb,81
あげる,上げる,Verb,81
実,実,Noun,81
ぬ,ず,Auxiliary Verb,80
しかし,然し,Conjunction,80
試験,試験,Noun,80
テ,手,Noun,80
最後,最後,Noun,79
ガキ,餓鬼,Noun,79
あげ,上げる,Verb,79
無,無,Prefix,79
見え,見える,Verb,79
訳,訳,Noun,79
殿,殿,Suffix,79
よろしく,宜しく,Adverb,79
もらっ,貰う,Verb,78
罪,罪,Noun,78
仕方ない,仕方無い,い-Adjective,78
テレビ,テレビ-television,Noun,78
姿,姿,Noun,77
様子,様子,Noun,77
警戒,警戒,Noun,77
報告,報告,Noun,77
たしか,確か,な-Adjective,77
電話,電話,Noun,77
くん,君,Suffix,76
ぇ,ぇ,Auxiliary Symbol,76
来い,来る,Verb,76
口,口,Noun,76
知れ,知る,Verb,76
協力,協力,Noun,76
名前,名前,Noun,76
間,間,Noun,75
成功,成功,Noun,75
得,得る,Verb,75
事故,事故,Noun,75
なー,な,Particle,75
気分,気分,Noun,75
万,万,Noun,75
生き,生きる,Verb,74
調子,調子,Noun,74
生,生,Noun,74
とい,とく,Auxiliary Verb,74
おっ,居る,Verb,74
メメント,メメント-memento,Noun,74
大変,大変,な-Adjective,74
すん,為る,Verb,73
そっち,其方,Pronoun,73
余裕,余裕,Noun,73
場,場,Suffix,73
コープ,コープ-coop,Noun,73
さっさと,さっさと,Adverb,72
命,命,Noun,72
状態,状態,Noun,72
化,化,Suffix,72
足り,足りる,Verb,72
分から,分かる,Verb,72
ノ,の,Particle,72
終わっ,終わる,Verb,72
ルート,ルート-route,Noun,72
確保,確保,Noun,72
占い,占う,Verb,72
コト,事,Noun,72
話題,話題,Noun,72
やり,遣る,Verb,71
ボタン,ボタン-button,Noun,71
春,春,Noun,71
全て,全て,Noun,71
うち,内,Noun,71
出る,出る,Verb,71
生徒,生徒,Noun,71
ソレ,其れ,Pronoun,71
ル,ル,Code,71
覚悟,覚悟,Noun,70
やれ,遣る,Verb,70
もらう,貰う,Verb,70
身,身,Noun,70
タ,誰,Pronoun,70
使っ,使う,Verb,70
子供,子供,Noun,70
変,変,Noun,70
帰る,返る,Verb,70
質問,質問,Noun,70
戦い,戦い,Noun,69
見せ,見せる,Verb,69
大人,大人,Noun,69
親,親,Noun,69
不,不,Prefix,69
奥,奥,Noun,69
フタバ,双葉,Noun,69
祐介,ユウスケ,Noun,69
奥村,オクムラ,Noun,69
通用,通用,Noun,69
フロア,フロア-floor,Noun,69
分かる,分かる,Verb,68
たって,たって,Particle,68
達,達,Suffix,68
やはり,矢張り,Adverb,68
アケチ,アケチ,Noun,68
こちら,此方,Pronoun,68
信じ,信ずる,Verb,68
回,回,Noun,67
悪く,悪い,い-Adjective,67
ぅ,ぅ,Auxiliary Symbol,67
注意,注意,Noun,67
わから,分かる,Verb,67
悪,悪い,い-Adjective,67
ニュース,ニュース-news,Noun,67
会い,会う,Verb,67
紹介,紹介,Noun,67
明智,アケチ,Noun,67
最近,最近,Noun,67
ボス,ボス-boss,Noun,67
終わり,終わり,Noun,66
ぉ,ぉ,Auxiliary Symbol,66
ちまう,ちまう,Auxiliary Verb,66
方法,方法,Noun,66
アレ,彼れ,Pronoun,66
ええ,ええ,Interjection,66
先生,先生,Noun,66
社長,社長,Noun,66
あん,有る,Verb,65
以外,以外,Noun,65
ぃ,ぃ,Auxiliary Symbol,65
わたし,私,Pronoun,65
頼ん,頼む,Verb,65
面倒,面倒,Noun,65
皆,皆,Noun,65
映画,映画,Noun,65
ウ,鵜,Noun,65
数,数,Noun,64
仮面,仮面,Noun,64
下,下,Noun,64
コイツ,此奴,Pronoun,64
いよいよ,愈,Adverb,64
おこう,置く,Verb,64
新宿,シンジュク,Noun,64
結局,結局,Noun,64
邪魔,邪魔,Noun,63
使え,使う,Verb,63
為,為,Noun,63
行か,行く,Verb,63
なれ,成る,Verb,63
館,館,Suffix,63
さま,様,Suffix,63
証,証し,Noun,63
まー,まー,Interjection,63
仕掛け,仕掛ける,Verb,62
死ん,死ぬ,Verb,62
マダ,未だ,Adverb,62
黙っ,黙る,Verb,62
なるほど,成る程,Adverb,62
サマ,様,Suffix,62
鍵,鍵,Noun,62
んじゃ,で,Conjunction,62
役,役,Noun,62
演説,演説,Noun,62
なかなか,中々,Adverb,61
おお,おお,Interjection,61
いけ,行く,Verb,61
ぁ,ぁ,Auxiliary Symbol,61
行け,行く,Verb,61
モナ,モナ,Noun,61
彼,彼,Pronoun,61
残念,残念,な-Adjective,61
変わっ,変わる,Verb,61
探す,探す,Verb,61
本日,本日,Noun,61
入る,入る,Verb,60
認知,認知,Noun,60
聞く,聞く,Verb,60
三,三,Noun,60
っぽい,ぽい,Suffix,60
会,会,Noun,60
コーヒー,コーヒー-coffee,Noun,60
おき,置く,Verb,60
多く,多く,Noun,60
ネタ,ねた,Noun,60
ヒホ,,Noun,60
ほら,ほら,Interjection,59
銃,銃,Noun,59
どうせ,どうせ,Adverb,59
あんな,あんな,な-Adjective,59
頭,頭,Noun,59
変化,変化,Noun,59
全部,全部,Noun,59
正義,正義,Noun,59
局,局,Noun,59
ちまっ,ちまう,Auxiliary Verb,59
どっ,何処,Pronoun,59
企業,企業,Noun,59
ラメ,ラメ-lame,Noun,58
分,分,Noun,58
モン,物,Noun,58
う,うう,Interjection,58
もらえる,貰う,Verb,58
決め,決める,Verb,58
雨,雨,Noun,58
簡単,簡単,な-Adjective,58
噂,噂,Noun,58
カワカミ,カワカミ,Noun,58
シドウ,,Noun,58
イイ,良い,い-Adjective,57
理解,理解,Noun,57
わかん,分かる,Verb,57
しばらく,暫く,Adverb,57
目的,目的,Noun,57
期限,期限,Noun,57
話す,話す,Verb,57
会社,会社,Noun,57
依頼,依頼,Noun,57
食べ,食べる,Verb,57
よー,様,Suffix,57
下さい,下さる,Verb,57
ハ,ハ,Code,57
周り,周り,Suffix,57
被害,被害,Noun,57
ゾ,ぞ,Particle,57
すぎる,過ぎる,Verb,56
しっかり,確り,Adverb,56
間違い,間違い,Noun,56
決まっ,決まる,Verb,56
良かっ,良い,い-Adjective,56
金城,金城,Noun,56
行ける,行く,Verb,56
伝え,伝える,Verb,56
部,部,Noun,56
買っ,買う,Verb,56
連れ,連れる,Verb,55
社員,社員,Noun,55
解決,解決,Noun,55
説明,説明,Noun,55
よっ,因る,Verb,55
公園,公園,Noun,55
言,ゲン,Code,55
あまり,余り,Adverb,54
本気,本気,Noun,54
起き,起きる,Verb,54
思い,思い,Noun,54
げ,気,Suffix,54
急,急,Noun,54
バレ,ばれる,Verb,54
せっかく,折角,Adverb,54
早い,早い,い-Adjective,54
とっ,取る,Verb,54
犯罪,犯罪,Noun,54
ナイ,無い,い-Adjective,54
みろ,見る,Verb,53
当然,当然,Adverb,53
会話,会話,Noun,53
杏,杏子,Noun,53
いか,行く,Verb,53
かぁ,か,Particle,53
犯人,犯人,Noun,53
つー,つう,Auxiliary Verb,53
危険,危険,Noun,53
寝,寝る,Verb,53
普通,普通,Noun,53
居る,居る,Verb,53
さて,扠,Conjunction,53
全員,全員,Noun,52
動き,動き,Noun,52
社会,社会,Noun,52
嫌,嫌,な-Adjective,52
カラ,から,Particle,52
勝負,勝負,Noun,52
待ち,待つ,Verb,52
たかっ,たい,Auxiliary Verb,52
ござい,御座る,Verb,52
指名,指名,Noun,52
注目,注目,Noun,52
調査,調査,Noun,52
気力,気力,Noun,52
さあ,さあ,Interjection,51
多い,多い,い-Adjective,51
カネ,金,Noun,51
主人,主人,Noun,51
任せ,任せる,Verb,51
気配,気配,Noun,51
乗っ,乗る,Verb,51
どの,何の,Adnominal,51
ウソ,嘘,Noun,51
ほう,方,Noun,51
忙しい,忙しい,い-Adjective,51
嬉しい,嬉しい,い-Adjective,51
見る,見る,Verb,51
すげー,凄い,い-Adjective,51
威勢,威勢,Noun,51
なぜ,何故,Adverb,50
高い,高い,い-Adjective,50
価値,価値,Noun,50
しまっ,仕舞う,Verb,50
イカ,烏賊,Noun,50
慎重,慎重,Noun,50
年,年,Noun,50
バイト,バイト-Arbeit,Noun,50
近く,近く,Noun,50
品,品,Noun,50
倍,倍,Noun,50
め,奴,Suffix,49
向こう,向こう,Noun,49
有名,有名,な-Adjective,49
代わり,代わり,Noun,49
フン,フン-外国,Noun,49
どー,どう,Adverb,49
戻っ,戻る,Verb,49
おかげ,御陰,Noun,49
なさ,無い,い-Adjective,49
