Lemma,POS,P4 Occurrences,P5 Occurrences
食べる,Verb,123,87
母,Noun,123,31
んっ,Interjection,122,112
／,Auxiliary Symbol,122,32
ナガセ,Noun,122,0
兄,Noun,121,169
映る,Verb,120,10
色々,Adverb,120,145
若し,Adverb,119,144
仕舞う,Verb,119,122
死ぬ,Verb,119,128
ちゃんと,Adverb,119,133
場所,Noun,118,311
忘れる,Verb,117,169
結実,Noun,117,0
もの,Particle,116,99
もっと,Adverb,116,117
優しい,い-Adjective,116,53
なんか,Particle,115,125
上げる,Verb,115,195
怖い,い-Adjective,114,95
別,Noun,114,177
終わる,Verb,114,107
おお,Interjection,113,133
放課,Noun,113,31
アヤネ,Noun,112,0
兎に角,Adverb,111,105
まじ,な-Adjective,110,156
全然,Adverb,110,40
雨,Noun,108,58
唯,Adverb,107,53
無理,Noun,107,127
てく,Auxiliary Verb,106,105
とく,Auxiliary Verb,105,384
心配,Noun,105,99
全く,Adverb,105,70
次,Noun,103,174
あれ,Interjection,103,80
あんな,な-Adjective,103,59
侭,Noun,103,152
くらい,Particle,102,182
付ける,Verb,102,214
じゃ,Auxiliary Verb,102,88
・,Auxiliary Symbol,102,137
今度,Noun,101,203
コニシ,Noun,100,0
気持ち,Noun,100,111
ええ,Interjection,99,78
さっき,Noun,99,136
子供,Noun,98,98
全部,Noun,97,67
ばかり,Particle,97,107
あはは,Interjection,97,10
変わる,Verb,96,155
筈,Noun,96,241
ハナムラ,Noun,96,0
殺す,Verb,96,89
掛ける,Verb,94,202
取る,Verb,93,173
旨い,い-Adjective,93,112
おい,Interjection,93,222
金,Noun,92,256
絶対,Noun,92,156
大事,な-Adjective,92,106
変,Noun,91,89
つ,Particle,90,150
年,Noun,89,59
声,Noun,89,190
アイ,Noun,89,0
通り,Noun,88,152
ユウ,Noun,88,9
心,Noun,88,185
け,Particle,87,91
あの,Interjection,87,128
恥ずかしい,い-Adjective,87,24
生きる,Verb,87,99
アダチ,Noun,86,0
他,Noun,86,279
秀,Noun,86,7
先,Noun,85,250
使う,Verb,85,265
ネス,Noun,85,1
たって,Particle,85,73
絆,Noun,85,19
実,Noun,84,90
仕事,Noun,83,134
二,Noun,83,125
最近,Noun,83,67
泣く,Verb,83,38
つく,Verb,81,132
頼む,Verb,81,245
ジュ-je,Noun,81,0
探す,Verb,81,186
部活,Noun,81,0
勉強,Noun,81,163
人間,Noun,80,450
シャドー-shadow,Noun,80,192
寂しい,い-Adjective,79,23
仲,Noun,79,9
ナオキ,Noun,79,0
御座る,Verb,78,57
遊ぶ,Verb,77,73
約束,Noun,77,86
こそ,Particle,76,123
其処,Pronoun,76,220
ぉ,Auxiliary Symbol,76,69
まさか,Adverb,75,83
過ぎる,Verb,75,167
可愛い,い-Adjective,74,49
助ける,Verb,74,127
結構,Adverb,74,36
逃げる,Verb,74,85
書く,Verb,74,92
一番,Adverb,73,38
覚える,Verb,73,120
教える,Verb,73,149
付き合う,Verb,73,137
部屋,Noun,72,193
