Word,Lemma,POS,P4 Occurrences,P5 Occurrences
でしょう,です,Auxiliary Verb,126,219
宝,Noun,0,217
みよう,見る,Verb,69,216
シャドウ,シャドー-shadow,Noun,91,212
できる,出来る,Verb,85,212
わかっ,分かる,Verb,17,212
ダ,だ,Auxiliary Verb,11,212
そこ,其処,Pronoun,71,211
ず,ず,Auxiliary Verb,118,210
ため,為,Noun,176,209
話し,話す,Verb,154,209
タカラ,宝,Noun,0,208
すぐ,直ぐ,Adverb,143,206
オイラ,己等,Pronoun,0,206
己等,Pronoun,0,206
悪い,悪い,い-Adjective,107,205
必要,必要,Noun,56,205
敵,敵,Noun,9,205
アタシ,私,Pronoun,24,201
くれる,呉れる,Verb,118,200
度,度,Noun,109,200
シブヤ,Noun,0,200
連絡,連絡,Noun,45,199
あと,後,Noun,66,198
僕,僕,Pronoun,417,197
つい,つく,Verb,122,197
今度,今度,Noun,97,197
状,状,Suffix,24,197
予定,予定,Noun,17,197
よく,良く,Adverb,163,196
父,父,Noun,156,196
世界,世界,Noun,170,194
渋谷,シブヤ,Noun,0,194
部屋,部屋,Noun,72,193
コレ,此れ,Pronoun,41,193
行こう,行く,Verb,65,191
我,我,Pronoun,2,191
オクムラ,Noun,0,191
はず,筈,Noun,67,189
声,声,Noun,86,187
仲間,仲間,Noun,70,186
ホー,ほう,Interjection,0,183
てん,てる,Auxiliary Verb,143,182
きっと,急度,Adverb,136,182
大丈夫,大丈夫,な-Adjective,123,182
心,心,Noun,88,182
月,月,Noun,62,181
つ,つ,Particle,125,179
街,街,Suffix,53,179
双葉,双葉,Noun,0,178
番組,番組,Noun,41,177
ダメ,駄目,Noun,126,172
なぁ,な,Particle,139,171
こっち,此方,Pronoun,124,171
ちゃん,ちゃん,Suffix,499,170
よし,良し,Noun,51,170
次,次,Noun,100,169
あー,ああ,Interjection,203,168
ください,下さる,Verb,110,168
みる,見る,Verb,94,168
なさい,為さる,Verb,157,167
奴,奴,Noun,49,167
2,,Noun,0,165
別,別,Noun,110,164
らしい,らしい,Auxiliary Verb,103,164
勉強,勉強,Noun,81,163
られる,られる,Auxiliary Verb,71,163
本,本,Suffix,36,163
やら,やら,Particle,78,162
内容,内容,Noun,24,162
学校,学校,Noun,163,161
欲しい,欲しい,い-Adjective,109,160
言葉,言葉,Noun,65,160
まぁ,まあ,Adverb,58,160
上,カミ,Noun,464,159
本当,本当,Noun,158,159
準備,準備,Noun,38,159
物,物,Suffix,32,158
え,えっ,Interjection,285,156
早く,早い,い-Adjective,87,154
入れ,入れる,Verb,157,153
とこ,所,Noun,143,153
同じ,同じ,な-Adjective,148,152
子,子,Noun,265,151
つもり,積り,Noun,48,151
知ら,知る,Verb,128,150
たく,宅,Noun,83,149
なに,何,Pronoun,78,149
マジ,まじ,な-Adjective,97,147
まま,侭,Noun,96,147
円,円-助数詞,Noun,30,147
チャン,ちゃん,Suffix,69,146
もし,若し,Adverb,119,144
ところ,所,Noun,116,144
感じ,感じ,Noun,147,143
通り,通り,Noun,70,143
こう,こう,Adverb,154,142
意味,意味,Noun,150,142
知っ,知る,Verb,155,141
出来,出来る,Verb,92,141
絶対,絶対,Noun,89,141
くらい,くらい,Particle,58,138
・,・,Auxiliary Symbol,102,137
調べ,調べ,Noun,28,137
さっき,さっき,Noun,99,136
ゲーム,ゲーム-game,Noun,27,136
入っ,入る,Verb,123,135
獅童,シドウ,Noun,0,135
アケチ,Noun,0,135
シドウ,Noun,0,135
忘れ,忘れる,Verb,99,134
くる,来る,Verb,157,133
ちゃんと,ちゃんと,Adverb,116,133
願い,願う,Verb,72,133
良い,良い,い-Adjective,40,133
集合,集合,Noun,15,133
ま,まあ,Adverb,184,131
警察,警察,Noun,133,131
とく,とく,Auxiliary Verb,36,131
かけ,掛ける,Verb,63,130
教え,教える,Verb,59,130
やめ,止める,Verb,82,129
しれ,知れる,Verb,41,129
行き,行く,Verb,84,128
ペルソナ,ペルソナ-persona,Noun,64,128
ごめん,御免,Noun,188,127
そろそろ,そろそろ,Adverb,52,126
アジト,アジト-agitating point,Noun,0,126
アジト-agitating point,Noun,0,126
なんか,なんか,Particle,115,125
裏,裏,Noun,9,125
すぎ,過ぎ,Suffix,55,124
す,です,Auxiliary Verb,180,123
こそ,こそ,Particle,76,122
おく,置く,Verb,32,122
オクムラ,オクムラ,Noun,0,122
ちゃっ,ちゃう,Auxiliary Verb,243,121
助け,助ける,Verb,61,121
用,用,Noun,24,121
ちゃう,ちゃう,Auxiliary Verb,143,120
しろ,為る,Verb,44,120
など,など,Particle,37,120
メジエド,,Noun,0,120
ス,です,Auxiliary Verb,273,119
確か,確か,Adverb,161,119
覚え,覚える,Verb,70,119
ナ,ナ,Code,6,119
なきゃ,ない,Auxiliary Verb,118,118
かしら,かしら,Particle,66,118
以上,以上,Noun,64,118
頼む,頼む,Verb,35,118
もっと,もっと,Adverb,116,117
アイツ,彼奴,Pronoun,77,117
分かっ,分かる,Verb,240,116
来る,来る,Verb,87,116
とき,時,Noun,72,116
どんな,どんな,Adnominal,70,116
つけ,付ける,Verb,65,116
夜,夜,Noun,61,116
期待,期待,Noun,29,116
家,家,Noun,256,115
若い,若い,い-Adjective,21,115
絵,絵,Noun,7,115
枚,枚,Suffix,13,114
今回,今回,Noun,33,113
ワタシ,私,Pronoun,3,113
潜入,潜入,Noun,2,113
男,男,Noun,125,112
とけ,とく,Auxiliary Verb,23,112
色々,色々,Adverb,109,110
言い,言う,Verb,86,110
二,二,Noun,77,110
まず,先ず,Adverb,70,110
モルガナ,モルガナ,Noun,0,110
イ,イ,Code,0,110
モルガナ,Noun,0,110
言え,言う,Verb,87,109
